PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.36
11,51,55,18.52
12,56,60,18.82
13,61,65,18.63
14,66,70,18.75
15,71,75,19.50
16,76,80,19.03
17,81,85,18.97
18,86,90,19.05
19,91,95,19.29
20,96,100,19.79
21,101,105,20.22
22,106,110,20.77
23,111,115,21.41
24,116,120,21.55
25,121,125,20.56
26,126,130,20.31
27,131,135,19.98
28,136,140,20.99
29,141,145,21.72
30,146,150,22.69
31,151,155,22.16
32,156,160,22.17
33,161,165,22.73
34,166,170,23.19
35,171,175,23.89
36,176,180,24.78
37,181,185,24.93
38,186,190,22.62
39,191,195,22.65
40,196,200,22.46
41,201,205,21.40
42,206,210,22.39
43,211,215,22.96
44,216,220,21.93
45,221,225,20.72
46,226,230,20.21
47,231,235,21.13
48,236,240,21.45
49,241,245,22.14
50,246,250,23.05
51,251,255,21.04
52,256,260,19.72
53,261,265,19.92
54,266,270,19.52
55,271,275,20.58
56,276,280,21.12
57,281,285,21.69
58,286,290,21.28
59,291,295,21.07
60,296,300,21.51
61,301,305,21.81
62,306,310,22.45
63,311,315,23.16
64,316,320,21.13
65,321,325,22.22
66,326,330,20.79
67,331,335,20.21
68,336,340,20.98
69,341,345,20.97
70,346,350,22.13
71,351,355,21.89
72,356,360,21.30
,,OverallMean,20.89
,,PeriodStdDev,1.60
