Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
<<<<<<< HEAD
Busan,-,34,61,157,11,15,134,96,13,506,203,119,9,200,37,65,59,77,5,30
Cartagena,33,-,62,40,14,18,60,21,14,98,33,44,43,55,114,101,58,32,25,26
Colombo,68,51,-,137,14,18,65,47,17,93,100,93,54,197,82,97,30,101,21,41
Hamburg,91,40,169,-,22,29,225,60,22,130,69,28,84,8,249,256,99,23,41,76
Ho Chi Minh City,14,16,28,44,-,8,56,11,2,79,33,28,17,66,42,45,15,29,9,13
Jakarta,20,22,36,52,4,-,69,13,5,108,46,55,18,83,51,55,6,34,13,15
Jebel Ali,71,42,64,128,17,25,-,50,19,169,93,79,53,191,73,84,53,138,19,43
Kaohsiung,16,27,34,90,14,16,57,-,14,265,91,59,31,100,62,44,38,47,9,21
Laem Chabang,15,17,25,42,4,7,57,10,-,92,33,39,16,59,38,43,10,28,11,12
Los Angeles,280,131,105,112,32,40,160,141,32,-,440,96,220,168,430,285,112,69,100,145
New Jersey,98,48,144,69,18,21,114,77,16,467,-,64,94,77,252,234,72,21,39,76
Piraeus,71,50,112,18,17,19,135,46,15,90,75,-,64,37,176,164,69,20,26,52
Qingdao,37,34,39,93,9,13,71,11,9,435,129,86,-,112,8,19,35,60,21,0
Rotterdam,134,58,249,5,33,46,325,97,37,195,101,25,134,-,353,351,138,28,52,106
Shanghai,15,87,62,288,21,26,112,13,23,473,294,184,21,341,-,14,55,140,34,4
Shenzhen,40,73,54,296,19,25,137,9,22,312,295,195,29,390,73,-,38,119,11,14
Singapore,61,56,28,139,4,9,97,43,7,356,104,96,59,198,69,92,-,96,21,43
Tanger Med,69,32,132,14,22,31,164,40,22,78,21,11,62,15,170,164,91,-,29,51
Tianjin,31,26,32,85,6,9,68,20,8,226,96,59,2,125,11,15,34,42,-,0
Xiamen,29,33,42,139,9,11,93,8,10,170,152,92,19,171,51,12,39,60,1,-
=======
Busan,-,77,145,346,28,36,328,184,27,"1,190",424,239,21,506,82,192,147,183,12,63
Cartagena,62,-,117,76,25,33,118,38,25,203,78,76,76,111,228,185,120,67,47,63
Colombo,109,110,-,289,29,43,129,80,35,192,200,186,95,407,181,214,64,214,34,85
Hamburg,177,78,342,-,46,62,454,116,46,245,145,67,163,21,486,503,203,54,67,159
Ho Chi Minh City,29,37,62,84,-,18,119,20,4,156,69,62,27,137,98,106,33,62,20,27
Jakarta,38,45,74,117,8,-,161,27,10,210,88,113,34,169,111,132,13,78,24,30
Jebel Ali,127,100,135,258,35,51,-,90,39,319,199,159,101,379,162,189,108,274,33,82
Kaohsiung,34,49,61,175,24,32,107,-,26,748,174,121,45,207,97,78,67,96,17,35
Laem Chabang,26,35,56,88,8,15,119,20,-,174,66,83,27,129,87,105,23,56,18,24
Los Angeles,562,298,203,236,63,84,340,289,70,-,887,180,440,368,"1,015",707,225,156,196,282
New Jersey,202,101,281,142,31,43,203,138,31,931,-,117,173,199,508,468,144,41,74,150
Piraeus,126,99,226,38,28,44,284,87,33,188,176,-,111,82,351,361,138,41,48,105
Qingdao,52,71,95,191,21,27,161,19,22,"1,009",231,179,-,263,19,47,94,131,33,1
Rotterdam,258,112,507,12,65,86,645,176,65,359,200,50,232,-,723,746,296,61,104,225
Shanghai,34,184,147,573,49,63,240,23,55,"1,155",636,415,45,842,-,38,134,277,72,10
Shenzhen,66,160,115,608,45,54,289,18,46,626,608,400,42,826,111,-,87,255,18,21
Singapore,99,127,61,296,10,20,206,80,15,708,225,189,107,437,153,200,-,196,39,86
Tanger Med,129,69,252,31,42,53,319,90,42,154,42,24,113,33,346,318,184,-,47,99
Tianjin,41,60,75,185,14,19,138,25,16,429,222,129,6,270,27,38,81,90,-,1
Xiamen,50,80,99,293,22,28,213,17,25,337,293,207,28,369,72,33,104,125,1,-
>>>>>>> parent of 3e45403 (resultado de todos los dias, los primeros 20 periodos y los ultimos dias del 51-72, existe una mejorar, en el intermedio de estos incrementan los tiempo, hay que atacar esa hora pico)
