Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,3,17,15,3,4,29,153,3,120,23,14,22,22,54,28,20,9,13,16
Cartagena,5,-,14,25,2,3,13,3,2,10,72,21,6,37,21,18,12,26,3,4
Colombo,18,7,-,26,8,10,75,11,8,9,22,22,14,39,47,48,39,21,4,14
Hamburg,9,26,26,-,3,4,41,6,3,8,64,22,8,41,30,31,14,35,4,8
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,4,3,3,2,6,10,9,16,3,1,2
Jakarta,3,1,9,4,3,-,13,2,4,7,4,6,2,7,14,13,12,3,1,3
Jebel Ali,16,5,73,28,7,10,-,11,7,16,15,23,11,43,29,29,34,35,3,12
Kaohsiung,29,2,5,7,2,2,8,-,2,82,8,5,10,8,19,9,6,4,9,4
Laem Chabang,2,1,6,3,2,6,10,2,-,5,3,4,2,5,10,10,15,3,1,2
Los Angeles,57,11,15,12,5,7,23,26,6,-,48,11,43,17,93,50,18,8,18,26
New Jersey,9,89,22,62,2,3,27,7,2,29,-,37,8,77,31,28,10,28,3,9
Piraeus,9,12,23,13,3,3,32,5,2,6,21,-,7,33,27,23,12,30,3,7
Qingdao,26,3,12,10,3,3,17,13,2,117,15,11,-,12,31,11,14,7,5,1
Rotterdam,14,37,42,24,4,6,60,10,5,12,97,22,14,-,47,42,21,56,5,12
Shanghai,59,10,34,39,10,12,42,23,10,143,50,31,50,49,-,28,48,21,20,12
Shenzhen,39,10,39,42,11,15,62,26,12,36,52,36,9,57,20,-,53,19,7,3
Singapore,21,8,39,22,8,17,63,13,8,37,21,19,17,33,65,67,-,17,5,19
Tanger Med,7,24,24,20,3,4,34,4,3,5,28,17,7,29,24,22,14,-,3,6
Tianjin,10,2,10,9,2,3,15,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,22,3,15,15,3,3,25,15,3,19,18,12,5,20,14,54,18,7,0,-
