PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,19.36
2,6,10,19.60
3,11,15,20.06
4,16,20,20.09
5,21,25,19.11
6,26,30,19.55
7,31,35,20.17
8,36,40,19.47
9,41,45,20.11
10,46,50,19.75
11,51,55,19.15
12,56,60,20.00
13,61,65,20.17
14,66,70,19.71
15,71,75,19.91
16,76,80,20.33
17,81,85,20.33
18,86,90,20.10
19,91,95,20.02
20,96,100,20.64
21,101,105,21.21
22,106,110,21.30
23,111,115,21.92
24,116,120,22.40
25,121,125,23.28
26,126,130,23.93
27,131,135,24.30
28,136,140,21.92
29,141,145,22.63
30,146,150,23.53
31,151,155,22.50
32,156,160,22.96
33,161,165,23.83
34,166,170,24.16
35,171,175,24.49
36,176,180,25.43
37,181,185,24.22
38,186,190,23.88
39,191,195,24.36
40,196,200,25.00
41,201,205,23.45
42,206,210,24.58
43,211,215,23.36
44,216,220,20.83
45,221,225,21.18
46,226,230,21.41
47,231,235,22.23
48,236,240,22.03
49,241,245,22.05
50,246,250,20.37
51,251,255,21.35
52,256,260,21.11
53,261,265,21.92
54,266,270,20.88
55,271,275,21.73
56,276,280,21.98
57,281,285,21.16
58,286,290,21.12
59,291,295,21.06
60,296,300,22.42
61,301,305,22.80
62,306,310,23.15
63,311,315,20.55
64,316,320,21.03
65,321,325,22.25
66,326,330,22.49
67,331,335,21.76
68,336,340,21.91
69,341,345,22.86
70,346,350,22.26
71,351,355,21.88
72,356,360,22.48
,,OverallMean,21.76
,,PeriodStdDev,1.60
