Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,41,95,190,12,17,143,105,13,710,254,124,9,271,38,68,63,95,5,31
Cartagena,33,-,62,39,14,18,66,21,13,100,33,41,42,54,114,101,58,32,25,26
Colombo,73,51,-,138,14,18,66,49,17,95,100,93,58,198,83,99,30,101,23,42
Hamburg,93,40,168,-,22,30,225,62,22,131,69,28,85,8,250,257,99,23,42,77
Ho Chi Minh City,15,15,28,44,-,8,54,11,2,82,32,28,18,67,42,44,15,30,10,12
Jakarta,20,22,36,52,4,-,69,13,5,105,45,53,22,82,49,54,6,34,14,15
Jebel Ali,76,42,63,128,18,25,-,52,19,173,94,80,57,192,73,86,53,138,20,44
Kaohsiung,18,30,35,106,14,17,73,-,14,312,107,69,32,117,65,45,39,55,9,22
Laem Chabang,16,16,25,42,4,7,56,10,-,95,32,39,16,60,38,44,10,28,12,11
Los Angeles,279,132,122,122,32,39,159,141,32,-,441,96,220,184,431,282,110,69,100,143
New Jersey,98,51,142,69,17,20,128,76,16,478,-,59,94,77,249,231,72,21,38,76
Piraeus,74,48,112,33,17,19,135,47,15,94,68,-,66,38,176,187,69,20,27,53
Qingdao,39,37,41,111,9,13,73,11,9,454,145,106,-,135,8,20,36,73,22,0
Rotterdam,138,87,249,5,33,47,324,98,37,196,101,25,137,-,354,412,138,28,54,108
Shanghai,15,100,115,348,22,25,115,15,27,506,361,231,21,415,-,15,57,172,34,4
Shenzhen,34,73,56,299,20,24,140,9,23,338,298,197,29,394,74,-,41,120,9,14
Singapore,65,55,29,140,4,9,98,45,7,363,105,96,64,200,69,93,-,96,23,44
Tanger Med,71,32,132,14,22,31,164,41,22,78,21,11,64,15,172,165,91,-,30,52
Tianjin,32,29,33,102,6,9,97,21,8,235,109,73,3,150,11,15,35,52,-,0
Xiamen,23,33,43,140,9,11,94,8,10,183,154,93,18,174,52,13,39,61,1,-
