Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,6,31,29,5,8,55,155,6,129,46,28,41,40,105,54,37,16,13,32
Cartagena,4,-,11,20,2,2,10,2,2,8,57,17,5,28,17,16,9,21,3,3
Colombo,17,8,-,24,13,16,112,11,14,9,23,22,13,36,44,44,62,21,4,13
Hamburg,9,19,26,-,3,4,39,5,3,8,50,22,8,38,29,30,14,35,3,8
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,1,9,4,4,-,12,2,4,6,4,5,2,7,13,12,12,3,1,3
Jebel Ali,15,7,110,29,11,15,-,9,10,14,22,23,10,42,27,28,51,33,3,11
Kaohsiung,30,2,6,7,2,3,8,-,2,92,8,5,11,8,20,10,7,4,10,5
Laem Chabang,2,1,6,3,2,6,10,2,-,5,3,4,2,5,10,10,15,2,1,2
Los Angeles,64,13,17,13,5,7,26,29,6,-,54,11,48,18,103,56,21,8,20,30
New Jersey,10,70,24,49,2,3,22,8,2,33,-,29,10,60,33,30,11,22,4,9
Piraeus,8,11,21,13,2,3,30,5,2,6,20,-,7,32,24,22,12,28,2,6
Qingdao,14,3,12,11,3,4,18,27,2,130,16,11,-,12,32,11,15,8,5,0
Rotterdam,14,20,39,22,4,6,58,9,5,12,76,20,13,-,44,41,19,53,5,12
Shanghai,63,10,33,38,10,12,42,43,10,143,46,30,56,46,-,31,46,20,39,13
Shenzhen,40,10,38,42,11,14,61,27,11,39,53,34,9,57,19,-,53,19,8,3
Singapore,17,7,59,23,8,17,92,12,8,36,21,20,16,32,62,62,-,18,5,18
Tanger Med,7,19,22,20,3,4,32,4,3,5,21,16,6,27,22,20,13,-,3,6
Tianjin,11,3,11,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,3,15,16,3,3,25,15,3,19,19,13,5,20,15,55,19,7,1,-
