PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.84
2,6,10,19.02
3,11,15,19.05
4,16,20,19.40
5,21,25,18.31
6,26,30,18.83
7,31,35,19.18
8,36,40,19.12
9,41,45,19.65
10,46,50,18.64
11,51,55,18.64
12,56,60,19.40
13,61,65,19.68
14,66,70,19.03
15,71,75,19.40
16,76,80,18.78
17,81,85,19.39
18,86,90,19.59
19,91,95,19.24
20,96,100,20.14
21,101,105,20.81
22,106,110,20.92
23,111,115,21.10
24,116,120,21.78
25,121,125,22.02
26,126,130,22.87
27,131,135,23.53
28,136,140,21.44
29,141,145,21.66
30,146,150,21.19
31,151,155,21.04
32,156,160,21.29
33,161,165,22.05
34,166,170,22.73
35,171,175,23.21
36,176,180,22.45
37,181,185,21.88
38,186,190,22.36
39,191,195,22.58
40,196,200,22.69
41,201,205,22.42
42,206,210,22.84
43,211,215,19.69
44,216,220,19.72
45,221,225,19.65
46,226,230,19.50
47,231,235,20.70
48,236,240,21.00
49,241,245,21.13
50,246,250,19.51
51,251,255,19.25
52,256,260,19.55
53,261,265,20.09
54,266,270,19.36
55,271,275,19.96
56,276,280,21.21
57,281,285,20.89
58,286,290,19.61
59,291,295,19.52
60,296,300,20.52
61,301,305,20.40
62,306,310,21.35
63,311,315,20.24
64,316,320,19.94
65,321,325,21.09
66,326,330,21.15
67,331,335,20.11
68,336,340,20.79
69,341,345,20.02
70,346,350,20.62
71,351,355,21.33
72,356,360,21.22
,,OverallMean,20.52
,,PeriodStdDev,1.30
