Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,39,62,162,11,16,136,92,13,512,231,123,8,205,34,62,58,79,5,33
Cartagena,31,-,60,39,14,18,57,20,14,97,33,41,40,54,111,98,56,32,25,26
Colombo,60,54,-,137,14,17,65,43,17,92,98,93,49,197,83,99,30,101,20,42
Hamburg,86,40,167,-,22,29,224,58,22,125,70,28,81,8,249,257,99,23,41,77
Ho Chi Minh City,13,16,28,44,-,8,55,10,2,79,31,28,16,66,44,46,15,29,9,13
Jakarta,18,22,35,52,4,-,68,12,5,104,44,54,16,82,52,58,6,34,13,15
Jebel Ali,66,44,64,129,18,25,-,48,19,164,88,80,49,192,73,86,53,138,19,44
Kaohsiung,18,29,34,91,13,16,56,-,14,307,101,59,28,100,60,43,37,47,9,21
Laem Chabang,14,17,25,41,4,7,56,9,-,92,31,38,14,59,40,45,10,28,11,12
Los Angeles,281,134,121,113,33,41,160,142,33,-,434,98,221,170,434,290,112,69,103,144
New Jersey,94,51,142,68,18,21,109,72,16,448,-,59,92,77,250,232,71,21,38,77
Piraeus,69,50,111,18,17,19,134,45,14,89,75,-,61,38,176,164,69,20,26,53
Qingdao,32,38,39,92,9,13,71,10,9,443,135,86,-,112,8,19,35,60,20,0
Rotterdam,129,90,248,4,32,46,322,94,36,188,102,25,129,-,354,351,137,28,52,107
Shanghai,13,99,63,290,22,26,113,14,24,496,336,185,20,343,-,14,55,141,38,4
Shenzhen,34,77,55,297,20,24,137,9,23,317,294,196,24,391,66,-,39,119,9,14
Singapore,53,59,28,139,4,9,98,40,7,351,104,96,53,199,70,94,-,96,20,44
Tanger Med,66,33,131,14,22,31,163,39,22,76,22,11,60,15,171,165,91,-,29,51
Tianjin,27,29,32,85,6,9,67,17,8,203,101,58,2,125,11,14,34,43,-,0
Xiamen,23,34,45,141,9,11,97,8,11,173,145,95,16,175,46,13,42,62,1,-
