Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,242,"1,458","1,403",232,331,"2,535","6,766",254,"5,620","2,123","1,200","1,807","1,776","4,432","2,371","1,684",744,"1,132","1,312"
Cartagena,183,-,540,"1,034",109,140,531,117,97,429,"2,730",791,239,"1,475",858,723,476,"1,087",134,164
Colombo,"1,271",508,-,"1,840",611,792,"5,442",848,659,673,"1,647","1,583",987,"2,719","3,593","3,516","3,155","1,522",311,"1,036"
Hamburg,631,902,"1,920",-,195,270,"2,911",429,199,594,"2,477","1,555",564,"2,882","2,281","2,247","1,042","2,494",266,595
Ho Chi Minh City,224,116,726,409,-,670,"1,107",166,537,559,367,319,245,626,"1,255","1,177","1,813",304,120,248
Jakarta,319,170,"1,051",523,443,-,"1,540",204,466,776,510,653,275,853,"1,616","1,549","1,483",384,172,298
Jebel Ali,"1,148",332,"5,378","2,000",517,736,-,779,512,"1,132","1,058","1,677",798,"3,105","2,161","2,206","2,602","2,513",244,865
Kaohsiung,"2,483",141,470,640,177,209,677,-,176,"3,607",729,452,847,719,"1,622",765,579,336,812,394
Laem Chabang,245,127,724,408,226,749,"1,184",170,-,631,380,449,242,583,"1,247","1,221","1,805",294,151,239
Los Angeles,"2,667",522,786,550,237,301,"1,097","1,192",228,-,"2,377",512,"2,050",862,"4,251","2,374",871,360,835,"1,183"
New Jersey,688,"3,485","1,601","2,522",165,190,"1,119",520,141,"2,075",-,"1,464",645,"3,019","2,330","2,041",739,"1,098",248,572
Piraeus,560,757,"1,578","1,013",184,210,"2,263",365,156,463,"1,454",-,497,"2,361","1,905","1,676",884,"2,185",197,480
Qingdao,"1,065",240,994,825,201,300,"1,405","1,038",189,"5,171","1,264",878,-,"1,021","2,609",922,"1,158",575,423,45
Rotterdam,956,"1,388","2,907","1,719",308,435,"4,305",662,336,868,"3,903","1,553",901,-,"3,213","3,137","1,468","3,886",342,828
Shanghai,"2,693",686,"2,583","2,949",754,936,"3,236","1,852",754,"5,959","3,586","2,230","2,432","3,566",-,"2,284","3,553","1,568","1,660",977
Shenzhen,"3,255",601,"2,912","3,174",811,"1,079","4,609","2,136",853,"2,917","3,847","2,533",722,"4,284","1,725",-,"3,817","1,406",654,256
Singapore,"1,440",494,"2,872","1,674",900,"2,116","4,586",959,944,"2,817","1,536","1,408","1,300","2,450","4,921","4,938",-,"1,278",359,"1,374"
Tanger Med,485,938,"1,653","1,497",217,309,"2,415",300,221,366,"1,095","1,182",449,"2,085","1,692","1,547","1,053",-,201,419
Tianjin,868,181,752,745,136,202,"1,303",540,153,"2,034",921,589,993,"1,125","2,092",640,"1,041",407,-,42
Xiamen,"1,907",239,"1,276","1,327",228,280,"2,093","1,232",249,"1,576","1,619","1,017",422,"1,660","1,118","4,388","1,551",624,42,-
