Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,3,18,15,3,4,29,151,3,119,23,15,22,22,53,28,20,8,13,16
Cartagena,5,-,14,27,3,3,14,3,2,11,77,23,7,40,22,19,12,27,4,4
Colombo,18,8,-,26,9,11,77,12,8,10,25,23,14,39,50,51,41,22,4,15
Hamburg,9,28,27,-,3,4,41,6,3,8,69,22,9,41,31,30,15,36,4,8
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,1,9,4,4,-,13,2,4,7,4,5,2,7,13,12,12,3,1,3
Jebel Ali,17,5,75,28,8,10,-,11,7,16,15,25,11,44,30,31,35,36,3,12
Kaohsiung,28,2,6,7,2,2,8,-,2,82,8,5,10,8,19,9,7,4,9,4
Laem Chabang,2,1,6,3,2,6,10,2,-,5,3,4,2,5,10,10,15,3,1,2
Los Angeles,59,11,16,12,5,7,24,26,6,-,49,11,44,17,93,51,19,8,19,27
New Jersey,11,95,24,65,2,3,29,8,2,32,-,39,10,81,35,31,11,29,4,10
Piraeus,9,12,24,14,3,3,33,5,2,6,22,-,7,33,27,24,12,30,3,7
Qingdao,26,3,12,10,2,3,16,13,2,115,15,11,-,12,31,11,14,7,5,1
Rotterdam,14,39,42,24,4,6,61,10,5,12,104,22,14,-,46,44,22,57,5,12
Shanghai,58,12,34,40,10,12,42,23,10,142,54,31,52,49,-,28,48,21,20,12
Shenzhen,39,11,40,44,11,15,63,26,12,36,58,36,9,58,20,-,55,19,8,3
Singapore,20,8,40,23,8,17,64,13,8,38,23,20,17,35,66,68,-,17,5,19
Tanger Med,7,26,24,21,3,4,35,4,3,5,30,18,7,29,24,22,14,-,3,6
Tianjin,10,3,10,9,2,3,15,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,3,15,16,2,4,25,15,3,18,18,11,5,20,14,54,19,7,0,-
