Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,268,"1,335","1,354",210,300,"2,348","6,840",233,"5,518","2,044","1,194","1,789","1,725","4,403","2,368","1,672",747,"1,126","1,311"
Cartagena,184,-,544,"1,037",108,139,530,117,97,430,"2,769",789,247,"1,485",849,716,469,"1,089",135,171
Colombo,"1,295",526,-,"1,763",618,791,"5,526",865,665,638,"1,619","1,608","1,002","2,602","3,551","3,497","2,992","1,544",316,"1,022"
Hamburg,622,906,"1,911",-,192,262,"2,962",441,197,569,"2,471","1,553",552,"2,821","2,268","2,224",999,"2,491",261,584
Ho Chi Minh City,230,123,736,389,-,661,"1,124",169,537,545,346,318,248,595,"1,241","1,172","1,817",305,125,245
Jakarta,319,177,"1,054",491,446,-,"1,541",208,466,752,505,654,277,799,"1,619","1,552","1,466",374,180,300
Jebel Ali,"1,116",347,"5,223","1,927",537,740,-,793,526,"1,104","1,078","1,695",786,"2,969","2,138","2,184","2,468","2,523",237,853
Kaohsiung,"2,476",160,426,621,152,199,624,-,159,"3,505",712,450,844,697,"1,613",764,571,336,810,392
Laem Chabang,251,129,734,395,226,737,"1,200",174,-,614,362,450,246,560,"1,236","1,192","1,815",294,157,234
Los Angeles,"2,657",579,810,534,232,308,"1,128","1,205",223,-,"2,339",505,"2,046",841,"4,246","2,370",869,357,833,"1,206"
New Jersey,672,"3,518","1,569","2,526",162,185,"1,124",502,138,"2,043",-,"1,468",635,"3,021","2,310","2,006",714,"1,100",244,602
Piraeus,542,762,"1,579",967,178,209,"2,293",368,153,450,"1,456",-,490,"2,264","1,885","1,656",855,"2,217",195,474
Qingdao,"1,119",252,979,785,198,300,"1,398","1,043",182,"5,035","1,194",893,-,965,"2,660",919,"1,198",570,435,45
Rotterdam,933,"1,426","2,919","1,651",302,427,"4,375",676,333,835,"3,888","1,558",885,-,"3,154","3,091","1,427","3,891",338,820
Shanghai,"2,675",729,"2,478","2,847",718,922,"3,188","1,877",724,"5,783","3,446","2,261","2,411","3,414",-,"2,251","3,666","1,596","1,658",977
Shenzhen,"3,243",637,"2,804","3,068",784,"1,070","4,564","2,134",812,"2,911","3,787","2,577",719,"4,123","1,719",-,"3,954","1,421",647,255
Singapore,"1,454",523,"2,898","1,601",904,"2,088","4,656",971,947,"2,698","1,514","1,436","1,312","2,358","4,883","4,882",-,"1,284",360,"1,366"
Tanger Med,480,947,"1,649","1,439",213,304,"2,468",307,219,350,"1,092","1,181",445,"2,021","1,676","1,527","1,021",-,194,416
Tianjin,863,186,740,700,133,202,"1,298",550,151,"1,986",882,609,992,"1,079","2,134",635,"1,084",405,-,42
Xiamen,"1,901",248,"1,249","1,232",225,277,"2,078","1,226",242,"1,567","1,578","1,009",421,"1,547","1,115","4,370","1,608",606,42,-
