PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,19.03
3,11,15,18.90
4,16,20,18.94
5,21,25,18.56
6,26,30,19.11
7,31,35,19.37
8,36,40,19.47
9,41,45,19.51
10,46,50,18.28
11,51,55,18.54
12,56,60,19.20
13,61,65,19.65
14,66,70,19.37
15,71,75,18.87
16,76,80,19.24
17,81,85,19.94
18,86,90,19.15
19,91,95,19.02
20,96,100,20.33
21,101,105,20.71
22,106,110,20.52
23,111,115,20.85
24,116,120,20.56
25,121,125,21.05
26,126,130,21.24
27,131,135,20.35
28,136,140,20.98
29,141,145,21.60
30,146,150,21.86
31,151,155,20.91
32,156,160,21.49
33,161,165,21.75
34,166,170,22.89
35,171,175,23.49
36,176,180,23.93
37,181,185,21.41
38,186,190,22.25
39,191,195,21.64
40,196,200,22.51
41,201,205,22.01
42,206,210,23.25
43,211,215,21.47
44,216,220,20.17
45,221,225,19.87
46,226,230,20.55
47,231,235,21.49
48,236,240,21.15
49,241,245,21.72
50,246,250,20.36
51,251,255,20.59
52,256,260,20.01
53,261,265,21.17
54,266,270,19.73
55,271,275,20.47
56,276,280,21.47
57,281,285,20.60
58,286,290,19.83
59,291,295,20.59
60,296,300,21.32
61,301,305,21.92
62,306,310,22.40
63,311,315,19.87
64,316,320,20.39
65,321,325,21.48
66,326,330,21.81
67,331,335,21.25
68,336,340,20.59
69,341,345,20.64
70,346,350,21.31
71,351,355,21.16
72,356,360,21.32
,,OverallMean,20.66
,,PeriodStdDev,1.24
