Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,61,159,11,15,136,99,13,507,213,120,9,201,37,58,56,78,5,33
Cartagena,32,-,62,39,14,18,58,20,14,96,33,42,41,54,113,100,57,32,25,26
Colombo,68,51,-,137,14,16,66,46,17,88,99,92,55,198,81,96,30,101,21,41
Hamburg,91,40,168,-,22,29,224,60,23,123,69,28,84,8,248,255,98,24,41,77
Ho Chi Minh City,15,16,29,43,-,8,55,11,2,77,32,28,18,65,46,47,15,29,10,14
Jakarta,19,22,35,52,4,-,69,13,5,106,47,54,18,83,50,55,6,34,14,15
Jebel Ali,72,42,64,128,18,23,-,52,19,159,90,79,54,190,72,84,53,137,19,43
Kaohsiung,16,30,39,99,15,18,64,-,16,268,102,63,30,109,84,53,42,51,9,21
Laem Chabang,16,17,26,41,4,7,57,11,-,86,33,38,16,59,42,46,10,28,12,13
Los Angeles,280,132,107,114,34,41,163,141,34,-,432,98,221,171,432,294,114,70,102,144
New Jersey,96,48,142,68,18,20,110,76,16,468,-,61,95,77,250,232,72,21,38,77
Piraeus,73,46,111,18,17,19,134,46,15,89,70,-,64,38,174,162,69,20,27,53
Qingdao,42,34,41,94,9,13,73,11,9,443,124,87,-,114,9,21,36,61,23,0
Rotterdam,135,57,249,5,33,45,323,97,37,188,100,25,135,-,351,349,137,29,53,107
Shanghai,14,87,61,288,21,25,112,13,24,479,295,183,21,341,-,14,54,140,35,4
Shenzhen,40,73,54,295,19,24,137,9,23,327,296,194,28,390,93,-,38,118,11,14
Singapore,61,56,28,139,4,9,98,44,7,332,104,96,60,198,68,92,-,96,21,42
Tanger Med,69,32,131,14,22,31,163,40,22,75,21,11,62,15,170,164,90,-,30,51
Tianjin,30,27,33,86,7,9,70,20,8,228,93,59,3,127,11,16,36,43,-,0
Xiamen,27,33,43,140,9,10,95,8,10,180,146,93,17,172,60,12,39,61,1,-
