Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,7,32,31,5,8,56,157,6,136,47,28,42,41,106,56,36,17,14,32
Cartagena,4,-,11,21,2,2,10,2,2,8,57,17,5,29,17,15,9,21,3,3
Colombo,18,8,-,25,13,16,109,13,14,10,21,21,14,36,47,46,61,21,4,13
Hamburg,8,21,25,-,3,4,41,6,2,8,49,21,8,38,29,30,14,31,4,8
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,6,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,16,8,109,28,11,15,-,11,10,18,22,23,11,42,27,29,53,33,3,11
Kaohsiung,32,3,6,8,2,3,9,-,3,98,9,6,11,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,11,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,60,17,16,13,5,7,26,29,5,-,52,11,48,18,101,55,20,8,20,29
New Jersey,9,84,20,48,2,2,22,6,2,29,-,28,8,60,29,25,9,23,3,8
Piraeus,8,13,21,13,3,2,30,5,2,6,19,-,7,32,26,22,12,28,3,7
Qingdao,28,4,12,10,2,3,17,28,2,128,15,11,-,12,31,11,15,7,10,1
Rotterdam,14,32,38,23,4,6,56,10,4,13,75,22,14,-,46,42,20,51,5,12
Shanghai,66,13,33,39,10,12,42,47,9,156,47,29,55,46,-,29,47,19,40,12
Shenzhen,34,12,38,42,10,14,60,28,11,39,49,33,8,55,19,-,50,19,7,3
Singapore,18,8,58,22,8,17,92,13,8,40,20,20,17,32,62,63,-,17,5,17
Tanger Med,8,20,22,20,3,4,33,4,3,5,21,16,7,27,22,20,13,-,2,6
Tianjin,11,3,10,9,2,3,16,6,2,24,11,8,12,13,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,25,15,3,19,19,13,5,20,15,56,19,8,1,-
