Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,261,"1,490","1,403",218,334,"2,353","6,917",237,"5,507","2,078","1,190","1,808","1,775","4,470","2,375","1,696",746,"1,099","1,326"
Cartagena,184,-,545,"1,040",108,138,534,117,97,426,"2,737",785,247,"1,491",842,709,468,"1,052",135,165
Colombo,"1,267",527,-,"1,844",618,794,"5,550",844,667,648,"1,608","1,609",984,"2,726","3,515","3,457","3,001","1,549",310,"1,043"
Hamburg,633,915,"1,850",-,189,259,"2,925",430,196,571,"2,522","1,560",565,"2,887","2,231","2,199",991,"2,498",266,601
Ho Chi Minh City,223,125,736,409,-,670,"1,124",164,538,549,346,321,243,627,"1,219","1,156","1,814",311,120,243
Jakarta,320,177,"1,051",523,443,-,"1,540",204,466,770,504,654,275,855,"1,586","1,524","1,486",384,172,304
Jebel Ali,"1,142",347,"5,244","1,998",536,740,-,774,527,"1,111","1,082","1,699",798,"3,105","2,108","2,146","2,483","2,540",244,867
Kaohsiung,"2,492",151,450,622,162,207,641,-,168,"3,504",718,459,874,695,"1,712",737,546,336,799,401
Laem Chabang,239,129,733,410,226,752,"1,196",167,-,623,362,455,237,583,"1,225","1,172","1,810",299,151,236
Los Angeles,"2,678",574,807,542,228,310,"1,037","1,219",214,-,"2,261",504,"2,078",852,"4,279","2,405",886,357,843,"1,201"
New Jersey,693,"3,539","1,603","2,524",164,189,"1,127",524,140,"1,997",-,"1,459",645,"3,035","2,327","2,035",737,"1,070",246,574
Piraeus,559,756,"1,503","1,016",175,207,"2,280",366,154,458,"1,484",-,498,"2,366","1,860","1,637",849,"2,219",197,487
Qingdao,"1,034",252,"1,020",828,197,304,"1,380","1,059",185,"5,033","1,232",893,-,"1,019","2,619",921,"1,186",591,405,45
Rotterdam,960,"1,412","2,791","1,725",293,422,"4,365",663,330,840,"3,966","1,563",901,-,"3,119","3,065","1,410","3,914",342,850
Shanghai,"2,707",716,"2,608","2,956",727,945,"3,148","1,891",739,"5,780","3,503","2,257","2,445","3,576",-,"2,228","3,586","1,595","1,671",980
Shenzhen,"3,267",639,"2,926","3,177",796,"1,083","4,495","2,140",824,"2,849","3,749","2,581",748,"4,302","1,813",-,"3,873","1,421",641,263
Singapore,"1,439",530,"2,907","1,674",903,"2,117","4,670",954,946,"2,721","1,498","1,441","1,298","2,453","4,829","4,843",-,"1,287",359,"1,386"
Tanger Med,485,954,"1,586","1,503",209,298,"2,463",300,216,352,"1,113","1,189",451,"2,088","1,657","1,516","1,017",-,201,424
Tianjin,869,186,785,745,134,205,"1,281",566,150,"1,992",905,609,968,"1,127","2,097",636,"1,064",417,-,42
Xiamen,"1,911",250,"1,305","1,295",227,286,"2,039","1,236",246,"1,532","1,585","1,011",429,"1,634","1,160","4,399","1,575",625,42,-
