Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,77,145,346,28,36,328,184,27,"1,190",424,239,21,506,82,192,147,183,12,63
Cartagena,62,-,117,76,25,33,118,38,25,203,78,76,76,111,228,185,120,67,47,63
Colombo,109,110,-,289,29,43,129,80,35,192,200,186,95,407,181,214,64,214,34,85
Hamburg,177,78,342,-,46,62,454,116,46,245,145,67,163,21,486,503,203,54,67,159
Ho Chi Minh City,29,37,62,84,-,18,119,20,4,156,69,62,27,137,98,106,33,62,20,27
Jakarta,38,45,74,117,8,-,161,27,10,210,88,113,34,169,111,132,13,78,24,30
Jebel Ali,127,100,135,258,35,51,-,90,39,319,199,159,101,379,162,189,108,274,33,82
Kaohsiung,34,49,61,175,24,32,107,-,26,748,174,121,45,207,97,78,67,96,17,35
Laem Chabang,26,35,56,88,8,15,119,20,-,174,66,83,27,129,87,105,23,56,18,24
Los Angeles,562,298,203,236,63,84,340,289,70,-,887,180,440,368,"1,015",707,225,156,196,282
New Jersey,202,101,281,142,31,43,203,138,31,931,-,117,173,199,508,468,144,41,74,150
Piraeus,126,99,226,38,28,44,284,87,33,188,176,-,111,82,351,361,138,41,48,105
Qingdao,52,71,95,191,21,27,161,19,22,"1,009",231,179,-,263,19,47,94,131,33,1
Rotterdam,258,112,507,12,65,86,645,176,65,359,200,50,232,-,723,746,296,61,104,225
Shanghai,34,184,147,573,49,63,240,23,55,"1,155",636,415,45,842,-,38,134,277,72,10
Shenzhen,66,160,115,608,45,54,289,18,46,626,608,400,42,826,111,-,87,255,18,21
Singapore,99,127,61,296,10,20,206,80,15,708,225,189,107,437,153,200,-,196,39,86
Tanger Med,129,69,252,31,42,53,319,90,42,154,42,24,113,33,346,318,184,-,47,99
Tianjin,41,60,75,185,14,19,138,25,16,429,222,129,6,270,27,38,81,90,-,1
Xiamen,50,80,99,293,22,28,213,17,25,337,293,207,28,369,72,33,104,125,1,-
