Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,"1,065",441,"1,506",0.03
Cartagena,671,0,671,0.02
Colombo,"1,077",44,"1,121",0.01
Hamburg,824,0,824,0.01
Ho Chi Minh City,192,0,192,0.06
Jakarta,226,0,226,0.06
Jebel Ali,993,0,993,0.00
Kaohsiung,427,129,556,0.03
Laem Chabang,191,0,191,0.04
Los Angeles,708,0,708,0.00
New Jersey,"1,175",419,"1,594",0.03
Piraeus,579,0,579,0.01
Qingdao,520,108,628,0.03
Rotterdam,"1,136",0,"1,136",0.02
Shanghai,"1,326","2,717","4,043",0.00
Shenzhen,"1,181",396,"1,576",0.02
Singapore,"1,164","1,156","2,320",0.02
Tanger Med,598,198,796,0.02
Tianjin,341,0,341,0.02
Xiamen,523,0,523,0.02
TOTAL,"14,917","5,608","20,524",0.44
