Route,Name,Avg Capacity TEU,Avg Carried TEU,Utilization
<<<<<<< HEAD
S1,Asia-Europe-NorthEurope,"188,992","12,946",6.85%
S2,Intra-EastAsia,"12,312",311,2.53%
S3,SEA-Feeder,"6,978",239,3.42%
S4,Transpacific-WestCoast,"126,487","5,659",4.47%
S5,Asia-US-East,"115,048","3,673",3.19%
S6,Transatlantic-SouthConnector,"22,595",881,3.90%
S7,IndianOcean-MiddleEast,"7,430",456,6.13%
TOTAL,,"479,841","24,165",5.04%
=======
S1,Asia-Europe-NorthEurope,"185,086","26,372",14.25%
S2,Intra-EastAsia,"11,744",623,5.30%
S3,SEA-Feeder,"6,626",477,7.20%
S4,Transpacific-WestCoast,"124,865","12,230",9.79%
S5,Asia-US-East,"114,468","7,399",6.46%
S6,Transatlantic-SouthConnector,"21,875","1,728",7.90%
S7,IndianOcean-MiddleEast,"7,150",901,12.60%
TOTAL,,"471,812","49,730",10.54%
>>>>>>> parent of 3e45403 (resultado de todos los dias, los primeros 20 periodos y los ultimos dias del 51-72, existe una mejorar, en el intermedio de estos incrementan los tiempo, hay que atacar esa hora pico)
