PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.36
11,51,55,18.52
12,56,60,18.82
13,61,65,18.63
14,66,70,18.75
15,71,75,19.50
16,76,80,19.04
17,81,85,18.95
18,86,90,18.97
19,91,95,19.24
20,96,100,19.66
21,101,105,20.10
22,106,110,20.65
23,111,115,21.26
24,116,120,21.34
25,121,125,20.84
26,126,130,20.76
27,131,135,20.64
28,136,140,21.39
29,141,145,22.17
30,146,150,23.16
31,151,155,21.80
32,156,160,22.18
33,161,165,22.56
34,166,170,23.24
35,171,175,24.12
36,176,180,24.88
37,181,185,23.58
38,186,190,23.22
39,191,195,23.48
40,196,200,22.73
41,201,205,23.01
42,206,210,22.41
43,211,215,23.57
44,216,220,21.19
45,221,225,20.65
46,226,230,20.17
47,231,235,20.83
48,236,240,21.31
49,241,245,21.85
50,246,250,22.42
51,251,255,20.53
52,256,260,20.24
53,261,265,19.85
54,266,270,19.92
55,271,275,20.06
56,276,280,21.18
57,281,285,21.12
58,286,290,20.63
59,291,295,20.59
60,296,300,21.16
61,301,305,21.36
62,306,310,22.37
63,311,315,22.93
64,316,320,20.80
65,321,325,21.38
66,326,330,19.34
67,331,335,20.11
68,336,340,20.31
69,341,345,21.25
70,346,350,20.85
71,351,355,20.90
72,356,360,20.44
,,OverallMean,20.79
,,PeriodStdDev,1.60
