Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,59,157,10,15,130,92,12,531,208,118,9,199,37,58,56,77,5,33
Cartagena,33,-,62,39,14,18,60,21,14,98,33,44,43,54,114,101,58,32,25,26
Colombo,66,52,-,137,15,18,65,49,18,94,99,92,54,196,83,98,30,100,21,43
Hamburg,90,40,168,-,22,29,225,61,22,128,70,28,83,8,249,257,99,23,41,77
Ho Chi Minh City,15,16,28,43,-,8,55,12,2,81,32,27,17,64,44,45,15,28,9,13
Jakarta,19,22,34,53,4,-,67,13,5,108,47,54,17,82,51,55,6,34,13,15
Jebel Ali,70,44,64,128,18,25,-,52,19,171,93,79,52,191,73,85,53,138,19,45
Kaohsiung,17,27,33,89,13,16,55,-,13,311,92,57,31,99,62,42,36,45,9,21
Laem Chabang,15,17,25,41,4,7,57,11,-,94,33,37,16,58,39,44,10,28,12,13
Los Angeles,278,132,102,110,31,40,157,139,32,-,440,95,219,166,428,279,110,68,101,145
New Jersey,97,51,144,69,18,21,114,74,16,454,-,64,94,78,253,235,73,21,39,76
Piraeus,71,49,112,18,17,18,134,46,15,91,71,-,63,37,176,164,69,20,26,53
Qingdao,34,34,38,91,8,13,68,10,8,463,126,84,-,111,8,17,33,59,21,0
Rotterdam,132,58,249,5,33,45,324,98,37,193,102,25,133,-,353,352,138,28,52,108
Shanghai,15,87,62,288,20,27,111,12,22,508,293,184,21,341,-,14,55,140,37,4
Shenzhen,33,73,54,295,18,25,136,9,20,307,294,194,28,389,72,-,38,118,9,14
Singapore,58,56,28,139,4,9,97,45,7,361,104,96,59,198,70,93,-,95,21,45
Tanger Med,68,32,132,14,22,31,163,40,22,78,21,11,62,15,171,165,91,-,29,51
Tianjin,28,27,31,84,6,9,65,19,7,221,94,57,2,123,11,13,33,42,-,0
Xiamen,23,34,40,136,8,11,89,8,9,167,149,90,17,168,49,12,36,59,1,-
