Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,29,28,5,7,51,146,6,121,43,27,39,39,98,52,33,16,13,30
Cartagena,4,-,11,22,2,2,11,2,2,8,59,17,6,30,18,16,10,22,3,3
Colombo,17,8,-,23,13,16,112,10,14,9,25,21,12,36,42,43,62,20,4,12
Hamburg,8,21,23,-,3,3,35,5,2,7,53,19,7,36,26,26,13,31,3,8
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,1,9,4,4,-,13,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,14,7,109,26,11,15,-,10,10,14,22,22,10,39,26,27,51,30,3,10
Kaohsiung,30,2,5,7,2,3,8,-,2,88,9,5,10,8,20,9,7,4,10,5
Laem Chabang,2,1,6,3,2,6,11,1,-,5,3,4,2,5,10,10,15,3,1,2
Los Angeles,59,11,16,12,5,7,24,26,6,-,50,11,45,18,96,53,20,7,20,27
New Jersey,10,75,23,52,2,2,23,7,2,31,-,30,9,63,33,29,10,24,4,9
Piraeus,7,9,19,12,2,2,28,4,2,5,18,-,6,28,22,20,11,26,2,6
Qingdao,14,3,12,11,3,4,18,25,2,118,16,11,-,12,31,11,15,8,5,1
Rotterdam,12,31,35,21,4,5,52,8,4,11,82,19,12,-,41,36,18,48,5,10
Shanghai,58,12,32,36,10,11,38,42,9,143,56,27,51,43,-,27,44,18,36,12
Shenzhen,41,11,37,40,10,13,58,27,10,38,59,32,9,53,23,-,49,17,8,3
Singapore,18,8,59,21,8,17,92,12,8,34,22,19,16,31,58,60,-,17,5,16
Tanger Med,6,20,20,18,3,4,30,4,2,4,23,14,6,26,20,19,12,-,2,5
Tianjin,11,3,11,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,3,15,16,3,3,24,15,3,19,18,13,5,20,14,56,19,7,1,-
