Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,265,"1,339","1,396",210,336,"2,349","6,907",233,"5,543","2,066","1,205","1,877","1,769","4,638","2,386","1,724",740,"1,128","1,337"
Cartagena,184,-,549,"1,040",104,143,537,117,94,431,"2,748",789,248,"1,497",805,670,484,"1,095",135,165
Colombo,"1,352",527,-,"1,848",618,793,"5,526",861,666,652,"1,622","1,595","1,048","2,719","3,535","3,470","2,987","1,527",314,"1,018"
Hamburg,661,920,"1,908",-,192,274,"2,967",438,197,575,"2,473","1,573",600,"2,891","2,262","2,224","1,027","2,530",268,580
Ho Chi Minh City,239,124,736,409,-,671,"1,123",169,539,551,346,319,261,628,"1,208","1,144","1,816",304,124,245
Jakarta,344,177,"1,052",525,443,-,"1,540",204,466,770,510,654,291,855,"1,616","1,554","1,467",384,173,287
Jebel Ali,"1,209",346,"5,223","2,005",533,737,-,786,523,"1,112","1,076","1,691",834,"3,104","2,131","2,170","2,469","2,520",247,847
Kaohsiung,"2,477",159,426,635,151,210,625,-,159,"3,546",719,448,902,713,"1,711",761,587,336,811,401
Laem Chabang,258,134,733,410,226,753,"1,197",174,-,623,362,450,250,583,"1,210","1,168","1,815",294,155,234
Los Angeles,"2,809",574,731,527,214,312,"1,040","1,215",202,-,"2,258",506,"2,167",827,"4,418","2,421",889,352,848,"1,211"
New Jersey,688,"3,548","1,615","2,536",153,193,"1,130",521,135,"2,071",-,"1,460",645,"3,052","2,220","1,930",753,"1,107",248,574
Piraeus,596,768,"1,567","1,015",178,216,"2,289",367,153,451,"1,475",-,515,"2,375","1,880","1,654",873,"2,194",199,472
Qingdao,"1,164",249,979,847,198,309,"1,398","1,057",182,"5,068","1,249",890,-,"1,035","2,660",919,"1,198",586,446,45
Rotterdam,"1,004","1,415","2,878","1,732",301,447,"4,380",671,333,842,"3,879","1,573",954,-,"3,151","3,089","1,456","3,954",348,815
Shanghai,"2,845",723,"2,468","2,961",714,954,"3,190","1,880",722,"5,830","3,531","2,241","2,529","3,578",-,"2,240","3,649","1,579","1,688",977
Shenzhen,"3,251",639,"2,790","3,187",782,"1,095","4,553","2,135",810,"2,901","3,800","2,565",767,"4,309","1,865",-,"3,938","1,410",651,262
Singapore,"1,491",531,"2,898","1,673",905,"2,125","4,652",968,947,"2,725","1,525","1,428","1,353","2,454","4,865","4,857",-,"1,280",360,"1,361"
Tanger Med,530,956,"1,649","1,500",213,318,"2,470",305,219,354,"1,090","1,208",478,"2,095","1,673","1,525","1,040",-,203,415
Tianjin,907,185,740,750,133,212,"1,298",548,151,"1,986",915,607,992,"1,136","2,136",635,"1,084",414,-,42
Xiamen,"1,905",251,"1,250","1,317",225,293,"2,078","1,227",242,"1,563","1,614","1,007",445,"1,656","1,197","4,373","1,609",618,42,-
