Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,28,27,5,7,50,144,5,118,41,25,38,37,95,50,33,15,13,29
Cartagena,4,-,11,22,2,2,11,2,2,8,60,18,6,31,18,16,10,22,3,3
Colombo,16,7,-,22,13,16,111,11,14,9,22,20,12,33,41,41,62,19,4,12
Hamburg,7,21,22,-,2,3,34,5,2,7,53,18,6,34,25,26,12,29,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,5,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,4,-,12,2,4,7,4,5,2,7,14,13,12,3,1,2
Jebel Ali,14,7,108,24,11,15,-,10,10,14,22,21,9,37,25,25,52,29,3,10
Kaohsiung,30,2,6,7,2,3,8,-,2,83,8,5,11,8,20,10,7,4,10,5
Laem Chabang,2,1,6,3,2,6,11,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,57,11,15,12,5,7,23,27,5,-,47,11,43,17,91,50,19,7,19,26
New Jersey,9,84,20,53,2,2,23,7,2,29,-,30,8,64,29,27,10,24,3,8
Piraeus,7,9,18,11,2,2,26,5,2,6,17,-,6,27,22,19,10,25,2,6
Qingdao,14,3,12,11,3,4,18,24,2,115,16,11,-,12,32,11,15,8,5,1
Rotterdam,11,33,33,20,4,5,49,8,4,10,83,18,11,-,39,35,17,46,4,10
Shanghai,58,11,30,34,9,11,36,41,9,140,47,26,48,41,-,26,41,18,34,13
Shenzhen,40,10,34,38,9,13,55,28,10,38,51,30,10,51,19,-,47,17,8,3
Singapore,17,8,59,20,8,17,92,12,8,34,21,18,15,29,55,57,-,15,4,16
Tanger Med,6,21,19,17,2,4,29,4,2,4,23,14,6,24,19,18,11,-,2,5
Tianjin,11,3,10,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,3,15,16,3,3,25,15,3,19,18,13,5,20,14,55,19,7,1,-
