PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.80
2,6,10,18.96
3,11,15,18.98
4,16,20,19.05
5,21,25,18.41
6,26,30,18.56
7,31,35,19.10
8,36,40,19.07
9,41,45,18.59
10,46,50,18.36
11,51,55,18.52
12,56,60,18.82
13,61,65,18.63
14,66,70,18.75
15,71,75,19.50
16,76,80,19.03
17,81,85,18.85
18,86,90,19.08
19,91,95,19.26
20,96,100,19.71
21,101,105,20.13
22,106,110,20.68
23,111,115,21.26
24,116,120,21.04
25,121,125,20.77
26,126,130,20.73
27,131,135,20.40
28,136,140,21.22
29,141,145,21.89
30,146,150,22.74
31,151,155,21.42
32,156,160,21.66
33,161,165,22.28
34,166,170,22.87
35,171,175,23.56
36,176,180,24.34
37,181,185,22.45
38,186,190,22.48
39,191,195,22.75
40,196,200,22.66
41,201,205,22.52
42,206,210,22.10
43,211,215,20.94
44,216,220,20.46
45,221,225,20.29
46,226,230,19.87
47,231,235,20.58
48,236,240,20.81
49,241,245,21.68
50,246,250,19.79
51,251,255,19.55
52,256,260,19.87
53,261,265,19.92
54,266,270,19.69
55,271,275,20.44
56,276,280,20.91
57,281,285,20.44
58,286,290,19.95
59,291,295,20.36
60,296,300,20.99
61,301,305,21.22
62,306,310,22.23
63,311,315,19.62
64,316,320,20.28
65,321,325,20.29
66,326,330,20.21
67,331,335,20.32
68,336,340,20.63
69,341,345,21.06
70,346,350,20.23
71,351,355,20.32
72,356,360,20.25
,,OverallMean,20.46
,,PeriodStdDev,1.36
