Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,444","1,391",209,334,"2,344","6,857",232,"5,524","2,055","1,202","1,818","1,764","4,478","2,357","1,706",737,"1,130","1,330"
Cartagena,184,-,548,"1,040",104,143,537,117,94,431,"2,748",805,248,"1,497",872,670,484,"1,095",135,165
Colombo,"1,293",524,-,"1,806",618,790,"5,516",862,663,647,"1,635","1,604",998,"2,726","3,538","3,477","2,987","1,530",314,"1,046"
Hamburg,638,920,"1,920",-,192,264,"2,963",439,198,567,"2,473","1,608",569,"2,838","2,268","2,224","1,038","2,558",268,602
Ho Chi Minh City,229,120,733,399,-,668,"1,117",169,535,549,354,318,248,627,"1,204","1,140","1,812",301,123,253
Jakarta,320,176,"1,049",510,443,-,"1,539",207,465,766,523,653,276,854,"1,613","1,547","1,486",384,179,304
Jebel Ali,"1,163",345,"5,435","1,973",533,736,-,787,523,"1,110","1,076","1,699",802,"3,116","2,132","2,173","2,459","2,525",247,871
Kaohsiung,"2,479",154,469,639,152,211,626,-,159,"3,536",721,452,872,719,"1,651",765,589,336,812,401
Laem Chabang,250,129,733,399,225,751,"1,194",174,-,621,372,450,246,581,"1,209","1,167","1,809",294,155,241
Los Angeles,"2,701",579,781,526,214,312,"1,040","1,213",202,-,"2,252",505,"2,095",825,"4,266","2,421",889,350,846,"1,210"
New Jersey,693,"3,547","1,619","2,536",155,192,"1,130",525,136,"2,045",-,"1,504",647,"3,050","2,333","1,957",750,"1,106",249,578
Piraeus,569,768,"1,576","1,003",179,215,"2,287",367,153,449,"1,492",-,503,"2,388","1,884","1,657",883,"2,207",199,487
Qingdao,"1,123",245,"1,006",825,198,305,"1,405","1,050",182,"5,046","1,255",893,-,"1,039","2,609",921,"1,199",588,437,45
Rotterdam,968,"1,414","2,907","1,695",304,436,"4,380",671,333,836,"3,879","1,595",907,-,"3,160","3,091","1,463","4,015",348,853
Shanghai,"2,725",714,"2,562","2,909",715,948,"3,191","1,869",723,"5,815","3,570","2,243","2,456","3,591",-,"2,241","3,661","1,581","1,677",977
Shenzhen,"3,258",636,"2,884","3,133",782,"1,091","4,562","2,136",810,"2,848","3,840","2,573",744,"4,323","1,762",-,"3,947","1,414",654,263
Singapore,"1,449",523,"2,895","1,647",902,"2,111","4,645",970,945,"2,716","1,534","1,434","1,310","2,456","4,869","4,859",-,"1,281",360,"1,402"
Tanger Med,496,956,"1,653","1,472",213,311,"2,470",305,220,350,"1,090","1,223",458,"2,103","1,678","1,530","1,052",-,203,424
Tianjin,869,182,769,742,133,204,"1,304",550,152,"1,986",916,609,993,"1,139","2,090",640,"1,086",414,-,42
Xiamen,"1,905",244,"1,275","1,289",225,287,"2,085","1,229",243,"1,530","1,619","1,014",428,"1,659","1,139","4,385","1,610",622,42,-
