Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,26,24,4,6,43,132,5,106,37,23,34,32,87,32,29,14,13,27
Cartagena,5,-,13,23,2,3,12,3,2,10,68,20,6,35,20,18,11,24,3,4
Colombo,14,9,-,19,13,16,110,10,14,8,22,17,11,29,38,38,62,16,3,11
Hamburg,7,25,20,-,2,3,31,5,2,7,59,17,6,31,24,24,11,27,3,6
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,6,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,6,2,7,14,12,12,3,1,3
Jebel Ali,13,8,108,21,11,15,-,9,11,14,22,18,9,32,23,24,51,26,2,9
Kaohsiung,33,3,6,8,2,3,9,-,2,75,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,48,15,13,10,4,6,20,23,4,-,40,9,38,15,81,45,16,6,15,22
New Jersey,9,96,21,58,2,3,26,7,2,33,-,35,9,71,30,27,9,26,3,8
Piraeus,7,11,17,10,2,2,24,4,2,5,16,-,6,25,19,18,9,23,2,5
Qingdao,14,4,12,11,3,4,17,22,2,103,16,11,-,12,32,11,15,8,5,1
Rotterdam,10,37,32,19,3,5,46,8,4,10,90,17,10,-,36,32,16,42,4,9
Shanghai,53,12,26,31,8,9,33,36,8,124,48,24,45,37,-,24,37,16,26,13
Shenzhen,33,12,31,34,8,11,47,28,9,38,50,27,8,45,19,-,42,15,7,3
Singapore,16,8,58,17,8,17,92,11,8,34,20,16,14,25,52,51,-,14,4,14
Tanger Med,6,24,18,16,2,3,26,3,2,4,26,13,5,23,17,16,11,-,2,4
Tianjin,11,3,11,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,4,15,16,3,3,25,16,3,19,19,13,5,20,15,56,19,7,1,-
