Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,263,"1,394","1,434",220,302,"2,376","7,045",239,"5,559","2,043","1,212","1,867","1,781","4,617","2,411","1,739",746,"1,130","1,343"
Cartagena,196,-,543,"1,036",108,139,532,123,97,429,"2,709",796,256,"1,484",848,713,462,"1,089",143,164
Colombo,"1,339",522,-,"1,871",618,795,"5,550",883,668,650,"1,614","1,625","1,041","2,698","3,541","3,523","3,003","1,515",330,"1,031"
Hamburg,660,909,"1,873",-,192,264,"2,950",449,198,576,"2,475","1,567",603,"2,910","2,270","2,264","1,004","2,515",279,595
Ho Chi Minh City,238,120,736,416,-,671,"1,123",170,535,551,346,321,258,628,"1,208","1,171","1,852",304,132,242
Jakarta,343,171,"1,051",517,443,-,"1,540",219,466,769,504,663,291,818,"1,616","1,591","1,464",367,186,298
Jebel Ali,"1,197",347,"5,245","2,020",539,740,-,818,528,"1,112","1,081","1,712",834,"3,073","2,137","2,207","2,485","2,495",257,858
Kaohsiung,"2,479",148,448,653,162,207,642,-,168,"3,569",705,450,888,716,"1,687",786,613,336,813,398
Laem Chabang,252,129,733,417,226,751,"1,197",172,-,623,362,455,245,583,"1,210","1,192","1,855",294,167,234
Los Angeles,"2,755",590,755,546,223,278,"1,027","1,257",210,-,"2,282",509,"2,151",834,"4,370","2,466",900,353,868,"1,223"
New Jersey,716,"3,514","1,616","2,528",162,186,"1,125",546,138,"2,053",-,"1,481",671,"3,032","2,317","2,024",707,"1,101",258,571
Piraeus,598,764,"1,534","1,034",179,213,"2,285",380,154,451,"1,466",-,515,"2,349","1,887","1,680",857,"2,174",210,481
Qingdao,"1,154",243,991,850,201,300,"1,403","1,083",189,"5,091","1,229",911,-,"1,011","2,608",921,"1,199",571,456,45
Rotterdam,"1,002","1,404","2,826","1,759",304,436,"4,377",711,333,842,"3,886","1,572",955,-,"3,170","3,151","1,430","3,940",368,833
Shanghai,"2,800",708,"2,574","2,999",751,931,"3,219","1,913",750,"5,878","3,511","2,279","2,517","3,549",-,"2,276","3,628","1,567","1,730",977
Shenzhen,"3,258",625,"2,894","3,243",807,"1,076","4,594","2,135",847,"2,914","3,761","2,602",758,"4,261","1,803",-,"3,927","1,403",654,260
Singapore,"1,489",515,"2,912","1,704",902,"2,122","4,670",996,945,"2,727","1,501","1,455","1,354","2,435","4,872","4,926",-,"1,272",379,"1,364"
Tanger Med,527,945,"1,611","1,514",213,308,"2,476",313,221,354,"1,092","1,200",478,"2,071","1,683","1,550","1,029",-,210,418
Tianjin,893,184,753,753,136,202,"1,302",560,153,"1,987",901,622,993,"1,116","2,091",636,"1,086",405,-,42
Xiamen,"1,905",249,"1,275","1,317",229,278,"2,083","1,230",249,"1,567","1,580","1,039",439,"1,620","1,169","4,388","1,613",608,42,-
