PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,19.11
2,6,10,18.96
3,11,15,18.94
4,16,20,19.02
5,21,25,18.46
6,26,30,18.52
7,31,35,18.90
8,36,40,18.78
9,41,45,19.35
10,46,50,18.70
11,51,55,18.82
12,56,60,19.11
13,61,65,18.82
14,66,70,19.39
15,71,75,19.21
16,76,80,19.12
17,81,85,19.51
18,86,90,19.10
19,91,95,19.06
20,96,100,19.38
21,101,105,20.19
22,106,110,20.87
23,111,115,20.36
24,116,120,21.12
25,121,125,21.00
26,126,130,20.91
27,131,135,20.22
28,136,140,20.57
29,141,145,20.84
30,146,150,21.67
31,151,155,20.63
32,156,160,21.05
33,161,165,21.52
34,166,170,22.18
35,171,175,22.59
36,176,180,23.50
37,181,185,21.28
38,186,190,21.05
39,191,195,21.17
40,196,200,22.07
41,201,205,21.27
42,206,210,22.26
43,211,215,22.88
44,216,220,20.09
45,221,225,20.24
46,226,230,19.68
47,231,235,20.19
48,236,240,20.88
49,241,245,21.68
50,246,250,20.67
51,251,255,20.82
52,256,260,19.85
53,261,265,19.60
54,266,270,20.05
55,271,275,20.69
56,276,280,21.65
57,281,285,20.10
58,286,290,19.98
59,291,295,20.04
60,296,300,20.80
61,301,305,21.19
62,306,310,22.15
63,311,315,20.01
64,316,320,20.46
65,321,325,19.86
66,326,330,19.99
67,331,335,20.39
68,336,340,20.75
69,341,345,21.09
70,346,350,20.61
71,351,355,19.80
72,356,360,20.55
,,OverallMean,20.35
,,PeriodStdDev,1.12
