Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,37,57,156,10,15,129,82,12,487,212,117,8,197,33,36,52,77,5,31
Cartagena,33,-,63,39,14,18,56,20,14,96,33,37,43,54,116,102,59,32,25,27
Colombo,62,54,-,137,14,17,65,46,17,93,99,93,50,198,82,97,30,101,20,43
Hamburg,87,39,168,-,22,29,225,60,22,128,69,29,81,8,249,256,99,24,40,77
Ho Chi Minh City,14,17,29,43,-,8,56,11,2,76,33,28,16,65,42,45,15,29,9,13
Jakarta,18,23,35,51,4,-,68,13,5,106,47,53,17,81,48,53,6,34,13,14
Jebel Ali,66,45,64,128,18,25,-,50,19,166,96,79,49,191,73,85,53,137,18,45
Kaohsiung,16,27,28,84,12,14,48,-,12,262,87,54,13,93,28,16,30,42,8,9
Laem Chabang,14,18,25,41,4,7,57,10,-,89,34,38,14,59,39,44,10,28,11,12
Los Angeles,277,137,105,112,32,41,161,140,33,-,443,97,218,168,430,285,111,69,101,144
New Jersey,96,47,143,69,18,21,105,74,16,445,-,54,93,77,251,233,72,21,38,77
Piraeus,69,54,110,18,17,19,134,45,14,89,82,-,61,38,175,162,69,20,26,53
Qingdao,27,36,37,92,9,12,69,9,8,429,128,85,-,111,8,8,34,59,10,0
Rotterdam,130,58,248,5,33,45,323,95,37,192,102,25,129,-,352,350,137,29,52,108
Shanghai,13,91,61,288,21,26,112,12,24,469,296,184,20,341,-,14,54,140,36,4
Shenzhen,39,78,54,296,20,24,137,9,23,311,295,195,14,390,37,-,39,119,10,6
Singapore,54,59,28,139,4,9,98,42,7,351,104,96,54,198,69,93,-,96,20,45
Tanger Med,66,32,131,14,22,31,163,40,22,76,21,11,60,15,170,164,90,-,29,51
Tianjin,22,28,30,83,6,9,65,16,7,200,95,58,2,123,11,7,32,42,-,0
Xiamen,31,35,41,137,8,10,90,8,10,169,153,91,9,169,27,12,35,60,1,-
