Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,27,25,4,6,47,137,5,114,38,23,35,34,87,34,30,14,14,26
Cartagena,5,-,14,26,3,3,13,3,2,10,73,22,7,39,21,18,11,26,3,4
Colombo,15,10,-,21,13,16,111,11,14,8,28,20,12,32,41,40,62,18,4,12
Hamburg,7,27,23,-,2,3,35,5,2,8,64,18,7,32,26,26,12,29,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,6,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,3,-,12,2,4,7,4,6,2,7,14,13,12,3,2,3
Jebel Ali,14,7,108,24,11,15,-,10,11,15,22,21,9,35,25,25,52,31,3,10
Kaohsiung,33,3,7,8,2,3,9,-,2,79,9,6,11,9,23,11,8,5,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,50,11,13,10,4,6,20,24,4,-,42,9,38,16,81,45,16,6,16,24
New Jersey,11,103,26,62,3,3,27,8,2,35,-,37,10,78,36,32,12,27,4,9
Piraeus,8,13,19,11,2,2,27,5,2,6,17,-,6,28,22,20,10,25,2,6
Qingdao,14,4,12,10,2,3,17,22,2,104,15,11,-,12,32,11,15,8,5,1
Rotterdam,11,39,34,20,4,5,54,9,4,12,97,19,11,-,39,36,17,48,4,10
Shanghai,55,14,30,33,9,10,37,38,9,129,57,26,45,40,-,26,42,18,22,12
Shenzhen,35,12,33,37,9,12,52,27,10,38,61,29,8,50,19,-,46,16,7,3
Singapore,16,10,59,20,8,17,92,12,8,35,26,17,14,28,55,56,-,16,4,15
Tanger Med,6,26,20,18,3,4,29,4,2,4,29,14,6,25,19,18,12,-,2,5
Tianjin,11,3,11,9,1,3,17,6,2,25,11,7,12,13,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,26,15,3,20,19,12,5,20,15,56,20,7,1,-
