Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,240,"1,450","1,430",227,332,"2,360","6,770",253,"5,562","2,036","1,209","1,862","1,803","4,621","2,398","1,706",744,"1,125","1,323"
Cartagena,201,-,543,"1,034",109,140,532,117,97,429,"2,697",796,257,"1,478",860,726,478,"1,088",134,173
Colombo,"1,348",504,-,"1,851",618,794,"5,537",851,666,662,"1,605","1,620","1,052","2,766","3,563","3,504","2,995","1,548",313,"1,065"
Hamburg,662,903,"1,884",-,193,263,"2,975",425,197,579,"2,491","1,565",607,"2,892","2,274","2,235","1,014","2,558",271,613
Ho Chi Minh City,239,110,736,406,-,671,"1,124",167,539,564,346,322,262,628,"1,241","1,175","1,817",312,121,253
Jakarta,344,170,"1,052",518,445,-,"1,543",207,466,768,505,654,291,851,"1,619","1,553","1,465",374,180,309
Jebel Ali,"1,221",322,"5,238","2,009",536,739,-,776,525,"1,124","1,080","1,699",836,"3,114","2,150","2,200","2,476","2,523",249,884
Kaohsiung,"2,472",142,477,646,178,218,641,-,184,"3,558",704,448,901,718,"1,709",784,594,336,808,398
Laem Chabang,258,121,734,408,226,751,"1,200",167,-,637,362,458,250,583,"1,237","1,192","1,811",299,153,243
Los Angeles,"2,784",547,780,542,233,303,"1,013","1,207",226,-,"2,271",506,"2,151",855,"4,429","2,411",888,353,843,"1,283"
New Jersey,718,"3,498","1,593","2,524",165,193,"1,124",520,141,"2,021",-,"1,479",676,"3,025","2,328","2,040",755,"1,099",245,608
Piraeus,603,731,"1,541","1,027",181,209,"2,302",363,153,464,"1,493",-,518,"2,376","1,894","1,664",864,"2,211",199,493
Qingdao,"1,160",234,997,823,200,304,"1,394","1,045",186,"5,086","1,224",907,-,"1,009","2,655",913,"1,195",584,456,46
Rotterdam,"1,014","1,399","2,849","1,747",307,430,"4,391",662,333,856,"3,928","1,570",957,-,"3,194","3,110","1,438","4,012",349,867
Shanghai,"2,818",684,"2,539","2,979",739,938,"3,195","1,858",744,"5,836","3,498","2,264","2,511","3,564",-,"2,262","3,669","1,597","1,677",988
Shenzhen,"3,231",595,"2,870","3,222",805,"1,083","4,557","2,130",841,"2,951","3,738","2,586",767,"4,316","1,855",-,"3,962","1,421",647,260
Singapore,"1,495",493,"2,902","1,681",906,"2,125","4,668",954,947,"2,784","1,494","1,443","1,364","2,474","4,901","4,911",-,"1,285",360,"1,420"
Tanger Med,531,942,"1,624","1,502",214,305,"2,491",299,221,359,"1,101","1,194",481,"2,109","1,686","1,536","1,031",-,203,434
Tianjin,906,177,765,740,135,203,"1,296",547,154,"1,986",900,622,989,"1,121","2,131",632,"1,079",411,-,43
Xiamen,"1,896",238,"1,268","1,284",227,286,"2,075","1,222",247,"1,589","1,573","1,032",444,"1,621","1,198","4,362","1,604",619,42,-
