PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,19.17
2,6,10,19.28
3,11,15,18.92
4,16,20,18.72
5,21,25,18.72
6,26,30,18.99
7,31,35,19.53
8,36,40,19.44
9,41,45,19.02
10,46,50,18.88
11,51,55,18.33
12,56,60,19.07
13,61,65,18.86
14,66,70,19.53
15,71,75,19.25
16,76,80,19.30
17,81,85,19.43
18,86,90,19.31
19,91,95,19.54
20,96,100,20.22
21,101,105,20.76
22,106,110,21.42
23,111,115,21.59
24,116,120,21.30
25,121,125,21.82
26,126,130,21.80
27,131,135,22.08
28,136,140,22.30
29,141,145,22.61
30,146,150,22.83
31,151,155,22.26
32,156,160,22.89
33,161,165,23.86
34,166,170,24.64
35,171,175,25.56
36,176,180,26.14
37,181,185,23.64
38,186,190,23.63
39,191,195,23.82
40,196,200,24.02
41,201,205,24.58
42,206,210,25.01
43,211,215,21.54
44,216,220,21.30
45,221,225,20.40
46,226,230,20.23
47,231,235,21.16
48,236,240,21.48
49,241,245,22.38
50,246,250,22.95
51,251,255,19.54
52,256,260,19.34
53,261,265,19.98
54,266,270,19.89
55,271,275,20.31
56,276,280,20.94
57,281,285,21.78
58,286,290,21.08
59,291,295,20.86
60,296,300,21.85
61,301,305,21.79
62,306,310,22.31
63,311,315,22.74
64,316,320,20.64
65,321,325,20.60
66,326,330,21.46
67,331,335,20.29
68,336,340,20.90
69,341,345,20.83
70,346,350,21.61
71,351,355,21.09
72,356,360,20.77
,,OverallMean,21.17
,,PeriodStdDev,1.82
