Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,38,58,155,10,14,128,93,12,525,209,117,9,197,37,45,55,76,5,33
Cartagena,33,-,61,39,13,18,58,21,13,100,33,42,42,54,113,100,57,32,25,25
Colombo,67,54,-,137,14,18,65,49,17,102,99,92,54,197,82,97,30,101,21,41
Hamburg,91,39,169,-,22,29,226,61,23,135,70,28,83,7,250,257,99,23,41,76
Ho Chi Minh City,15,17,27,43,-,8,54,11,2,84,32,27,17,65,40,42,15,29,9,12
Jakarta,19,23,36,51,4,-,69,13,5,113,45,52,17,81,47,53,6,33,14,14
Jebel Ali,72,45,64,128,18,25,-,53,19,179,94,79,53,190,73,84,54,137,19,43
Kaohsiung,16,28,29,82,12,14,49,-,12,278,89,54,19,93,39,20,31,43,9,12
Laem Chabang,15,17,25,41,4,7,55,10,-,99,32,38,15,58,36,41,10,28,11,11
Los Angeles,279,136,104,111,32,40,160,142,33,-,436,96,219,168,429,282,110,68,101,142
New Jersey,100,46,144,69,17,21,110,77,16,486,-,62,96,78,253,235,73,21,40,76
Piraeus,72,49,112,18,17,19,135,47,15,94,76,-,64,38,176,164,69,20,26,52
Qingdao,37,36,37,91,8,12,68,10,8,459,129,84,-,111,8,11,33,58,20,0
Rotterdam,133,57,250,4,33,46,325,99,37,202,103,25,134,-,354,352,138,28,53,107
Shanghai,15,90,61,287,20,24,111,14,23,500,295,183,22,340,-,13,53,140,37,4
Shenzhen,39,77,54,295,18,23,137,9,21,347,295,194,21,388,52,-,38,118,11,10
Singapore,59,60,28,139,4,9,97,46,7,377,104,96,59,198,68,90,-,95,23,42
Tanger Med,69,32,132,14,22,31,164,41,22,83,22,11,63,15,171,164,91,-,29,51
Tianjin,31,28,30,83,6,8,65,19,7,223,97,57,2,123,11,9,32,42,-,0
Xiamen,29,35,40,136,8,10,90,8,9,191,153,91,14,169,40,12,36,60,1,-
