Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,6,33,32,5,8,58,175,6,138,49,30,41,43,110,43,39,17,13,33
Cartagena,5,-,14,25,2,3,13,3,2,10,74,22,7,39,21,18,12,26,3,4
Colombo,15,9,-,20,12,16,112,10,14,8,24,17,11,30,39,38,63,17,4,11
Hamburg,7,27,20,-,2,3,32,5,2,7,64,17,7,32,23,23,11,27,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,6,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,6,2,7,13,12,12,3,1,3
Jebel Ali,13,8,108,22,11,15,-,9,10,15,22,19,9,33,23,24,51,27,2,9
Kaohsiung,33,3,6,8,2,3,9,-,3,99,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,64,17,17,13,5,8,26,31,6,-,54,13,49,19,104,55,21,8,22,30
New Jersey,9,104,22,62,2,2,27,7,2,31,-,38,9,77,31,27,10,28,4,9
Piraeus,6,12,17,10,2,2,24,5,2,5,16,-,5,25,20,18,9,23,2,5
Qingdao,14,4,12,11,2,3,18,29,2,138,15,11,-,12,31,11,15,8,6,1
Rotterdam,11,40,31,18,4,5,47,8,3,10,98,17,10,-,36,33,16,41,4,10
Shanghai,65,13,28,32,8,10,35,48,8,170,49,25,56,38,-,25,38,16,37,12
Shenzhen,33,12,32,35,8,11,48,28,9,38,53,27,8,46,19,-,43,16,7,3
Singapore,16,8,59,19,8,17,92,11,8,35,21,16,15,26,52,54,-,14,4,14
Tanger Med,5,26,18,16,2,3,25,3,2,4,29,13,5,22,18,16,11,-,2,5
Tianjin,10,3,10,9,2,3,16,6,2,25,11,8,12,13,26,8,13,5,-,0
Xiamen,23,4,16,16,3,3,25,15,3,19,19,13,5,20,15,56,19,7,1,-
