Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,255,"1,352","1,401",217,300,"2,341","6,956",235,"5,514","2,016","1,199","1,852","1,774","4,559","2,251","1,559",744,"1,128","1,340"
Cartagena,184,-,551,"1,034",109,140,531,117,97,429,"2,687",794,240,"1,476",858,725,476,"1,087",143,164
Colombo,"1,285",518,-,"1,816",618,790,"5,526",880,664,650,"1,596","1,609",999,"2,685","3,527","3,515","2,993","1,553",318,"1,051"
Hamburg,639,902,"1,921",-,192,263,"2,983",452,196,571,"2,492","1,598",569,"2,839","2,254","2,269",994,"2,538",276,603
Ho Chi Minh City,229,112,736,399,-,671,"1,123",170,537,551,338,320,245,614,"1,208","1,169","1,815",312,128,247
Jakarta,319,171,"1,051",510,443,-,"1,538",216,466,750,504,654,277,835,"1,584","1,557","1,464",384,183,304
Jebel Ali,"1,159",332,"5,223","1,974",537,740,-,820,526,"1,112","1,078","1,699",804,"3,055","2,123","2,193","2,475","2,548",251,874
Kaohsiung,"2,479",147,436,640,157,199,625,-,165,"3,534",706,451,888,717,"1,686",774,537,336,812,397
Laem Chabang,244,125,733,400,226,751,"1,197",172,-,623,353,456,241,571,"1,209","1,192","1,809",299,159,236
Los Angeles,"2,734",535,801,539,219,305,"1,007","1,227",207,-,"2,239",499,"2,113",848,"4,355","2,536",919,355,876,"1,227"
New Jersey,694,"3,499","1,656","2,523",165,192,"1,117",525,142,"2,045",-,"1,479",646,"3,023","2,332","2,048",758,"1,098",255,577
Piraeus,572,761,"1,582","1,004",178,214,"2,302",380,153,456,"1,474",-,504,"2,336","1,872","1,673",853,"2,221",203,489
Qingdao,"1,135",246,"1,004",825,201,305,"1,403","1,061",189,"5,045","1,231",894,-,"1,021","2,607",920,"1,182",589,456,45
Rotterdam,971,"1,391","2,928","1,691",300,435,"4,391",716,332,840,"3,928","1,590",909,-,"3,146","3,154","1,419","3,993",356,859
Shanghai,"2,782",693,"2,560","2,912",739,950,"3,184","1,901",742,"5,811","3,469","2,263","2,494","3,492",-,"2,262","3,612","1,599","1,744",977
Shenzhen,"3,250",616,"2,879","3,136",803,"1,087","4,561","2,135",830,"2,848","3,718","2,586",757,"4,242","1,801",-,"3,897","1,426",651,259
Singapore,"1,453",506,"2,898","1,654",902,"2,116","4,662",994,945,"2,722","1,492","1,444","1,307","2,431","4,853","4,902",-,"1,290",368,"1,397"
Tanger Med,499,942,"1,653","1,471",212,310,"2,489",313,217,352,"1,101","1,210",461,"2,059","1,671","1,543","1,020",-,206,429
Tianjin,891,182,767,743,136,204,"1,301",559,153,"1,986",901,610,992,"1,124","2,088",628,"1,065",414,-,42
Xiamen,"1,903",243,"1,273","1,289",229,286,"2,081","1,227",249,"1,530","1,580","1,014",439,"1,626","1,166","4,373","1,572",621,42,-
