Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,880,219,"1,099",0.01
Cartagena,304,0,304,0.01
Colombo,470,21,491,0.01
Hamburg,319,0,319,0.00
Ho Chi Minh City,93,0,93,0.05
Jakarta,110,0,110,0.05
Jebel Ali,430,0,430,0.00
Kaohsiung,265,126,391,0.17
Laem Chabang,93,0,93,0.02
Los Angeles,563,0,563,0.00
New Jersey,502,183,684,0.01
Piraeus,209,0,209,0.00
Qingdao,344,78,422,0.01
Rotterdam,441,0,441,0.00
Shanghai,712,"1,563","2,275",0.00
Shenzhen,477,148,624,0.00
Singapore,488,494,983,0.01
Tanger Med,225,101,326,0.00
Tianjin,184,0,184,0.01
Xiamen,281,0,281,0.02
TOTAL,"7,391","2,932","10,323",0.40
