PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.85
2,6,10,19.07
3,11,15,18.80
4,16,20,18.86
5,21,25,18.54
6,26,30,18.89
7,31,35,19.22
8,36,40,19.27
9,41,45,19.12
10,46,50,19.01
11,51,55,18.33
12,56,60,18.96
13,61,65,19.47
14,66,70,19.18
15,71,75,19.45
16,76,80,18.94
17,81,85,19.09
18,86,90,19.21
19,91,95,19.76
20,96,100,20.16
21,101,105,20.64
22,106,110,21.28
23,111,115,21.39
24,116,120,21.01
25,121,125,21.87
26,126,130,22.20
27,131,135,22.76
28,136,140,22.30
29,141,145,22.35
30,146,150,22.72
31,151,155,21.84
32,156,160,22.29
33,161,165,23.44
34,166,170,24.51
35,171,175,24.77
36,176,180,25.43
37,181,185,22.72
38,186,190,22.78
39,191,195,23.27
40,196,200,24.39
41,201,205,23.14
42,206,210,23.68
43,211,215,24.83
44,216,220,20.50
45,221,225,20.12
46,226,230,20.42
47,231,235,21.16
48,236,240,22.03
49,241,245,23.12
50,246,250,19.82
51,251,255,19.71
52,256,260,19.59
53,261,265,20.27
54,266,270,20.37
55,271,275,20.95
56,276,280,21.22
57,281,285,21.65
58,286,290,21.19
59,291,295,20.83
60,296,300,22.04
61,301,305,22.32
62,306,310,22.76
63,311,315,21.50
64,316,320,21.25
65,321,325,21.44
66,326,330,21.00
67,331,335,20.70
68,336,340,21.67
69,341,345,21.81
70,346,350,22.13
71,351,355,20.55
72,356,360,20.85
,,OverallMean,21.12
,,PeriodStdDev,1.73
