Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,37,58,155,10,14,127,91,12,524,206,117,9,197,36,49,55,76,5,36
Cartagena,34,-,63,39,14,18,57,21,13,100,33,41,44,54,114,100,58,32,26,26
Colombo,67,54,-,137,14,17,65,48,17,98,98,93,54,198,84,98,30,101,21,44
Hamburg,91,39,169,-,22,29,226,60,23,131,70,28,85,8,250,257,99,23,42,78
Ho Chi Minh City,14,17,28,43,-,8,55,11,2,85,32,27,17,64,43,45,15,29,10,14
Jakarta,21,23,35,53,4,-,69,13,5,110,47,55,19,84,51,56,6,34,14,15
Jebel Ali,71,43,64,128,18,25,-,51,19,175,93,79,53,191,74,85,53,138,19,45
Kaohsiung,16,29,32,88,13,14,53,-,13,278,90,56,30,98,59,22,34,45,9,10
Laem Chabang,16,17,25,41,4,7,56,11,-,99,33,38,15,58,40,45,10,28,11,12
Los Angeles,279,136,105,112,32,40,160,141,32,-,433,97,220,169,433,284,111,69,102,144
New Jersey,101,46,144,69,18,21,110,76,16,465,-,60,97,77,252,234,72,21,41,78
Piraeus,71,48,112,18,17,19,135,47,15,94,74,-,64,37,177,164,69,20,27,54
Qingdao,37,35,39,94,9,13,72,10,9,457,124,88,-,113,8,13,36,60,22,0
Rotterdam,135,57,250,4,33,46,326,97,37,199,102,25,135,-,355,353,138,29,54,109
Shanghai,14,89,60,286,21,25,111,14,22,500,295,183,21,339,-,14,53,139,38,4
Shenzhen,40,76,53,293,17,24,134,9,21,327,295,193,27,388,68,-,37,118,11,9
Singapore,60,58,28,138,4,9,97,45,7,368,104,96,59,197,69,92,-,95,22,45
Tanger Med,68,32,132,13,22,31,164,40,22,81,22,11,62,15,172,165,91,-,29,52
Tianjin,30,27,32,85,6,9,68,19,7,222,92,59,2,126,11,10,34,43,-,0
Xiamen,28,35,44,139,8,11,93,8,10,175,152,93,17,171,47,12,40,61,1,-
