Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,6,32,32,5,8,56,170,6,140,49,29,41,43,109,51,38,17,14,33
Cartagena,5,-,13,23,2,3,12,3,2,10,68,20,6,36,20,18,11,24,3,4
Colombo,16,9,-,23,12,16,111,12,14,9,26,21,13,35,44,43,63,20,4,13
Hamburg,8,25,24,-,3,3,36,6,2,8,59,20,8,36,27,28,13,31,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,6,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,14,7,107,25,11,15,-,10,11,15,21,23,9,38,27,27,52,31,3,10
Kaohsiung,33,3,6,8,2,3,9,-,2,100,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,2,1,2
Los Angeles,69,19,18,14,5,8,28,33,6,-,57,13,52,19,109,58,23,9,23,31
New Jersey,10,100,24,57,2,3,26,8,2,36,-,35,10,72,34,31,11,26,4,9
Piraeus,8,13,20,13,2,3,29,5,2,6,19,-,6,30,23,22,10,28,2,6
Qingdao,14,4,12,11,3,4,17,29,2,138,15,11,-,12,32,11,15,8,5,1
Rotterdam,12,37,36,21,4,5,54,9,4,12,90,19,12,-,42,37,18,49,4,11
Shanghai,67,13,32,36,9,11,42,48,9,164,52,29,58,44,-,29,44,20,40,13
Shenzhen,34,12,36,39,10,14,58,27,11,39,57,35,8,54,19,-,50,18,7,3
Singapore,18,10,59,21,8,17,92,13,8,39,23,18,16,32,61,61,-,17,5,18
Tanger Med,7,25,21,19,3,3,30,4,3,4,27,15,6,26,22,19,13,-,2,5
Tianjin,11,3,10,9,2,3,17,6,2,25,11,7,12,14,26,8,13,5,-,0
Xiamen,23,4,16,16,3,3,25,15,3,19,19,13,5,20,15,56,19,7,1,-
