Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,247,"1,375","1,401",217,299,"2,342","6,905",235,"5,504","2,004","1,189","1,810","1,774","4,469","2,211","1,544",744,"1,126","1,351"
Cartagena,184,-,542,"1,036",108,140,531,117,97,429,"2,745",796,241,"1,481",862,719,481,"1,088",134,164
Colombo,"1,296",505,-,"1,806",618,790,"5,516",868,663,653,"1,609","1,627","1,001","2,661","3,491","3,409","2,991","1,479",321,"1,035"
Hamburg,641,903,"1,911",-,188,274,"2,942",446,195,578,"2,293","1,577",573,"2,820","2,201","2,185","1,028","2,536",279,597
Ho Chi Minh City,232,110,736,399,-,670,"1,123",168,538,551,346,321,254,614,"1,187","1,127","1,815",297,131,243
Jakarta,320,170,"1,051",507,443,-,"1,540",216,466,770,504,663,277,825,"1,584","1,521","1,465",367,183,304
Jebel Ali,"1,167",322,"5,435","1,960",538,739,-,806,527,"1,112","1,076","1,717",818,"3,034","2,088","2,126","2,468","2,452",256,863
Kaohsiung,"2,425",144,436,639,157,199,625,-,165,"3,509",705,450,871,713,"1,643",758,536,336,811,398
Laem Chabang,248,121,733,400,226,750,"1,196",168,-,623,363,454,243,571,"1,196","1,149","1,807",291,164,235
Los Angeles,"2,693",526,796,540,238,304,"1,110","1,224",231,-,"2,240",499,"2,089",848,"4,301","2,413",901,355,859,"1,230"
New Jersey,685,"3,495","1,589","2,527",162,192,"1,120",516,138,"2,042",-,"1,481",643,"3,024","2,346","2,023",757,"1,100",248,569
Piraeus,573,767,"1,571",986,174,216,"2,282",373,151,458,"1,393",-,505,"2,302","1,844","1,618",875,"2,116",206,483
Qingdao,"1,115",236,"1,015",824,203,304,"1,440","1,054",194,"5,021","1,255",909,-,"1,014","2,660",903,"1,182",573,456,45
Rotterdam,979,"1,397","2,880","1,672",291,446,"4,369",691,327,846,"3,671","1,577",915,-,"3,087","3,046","1,461","3,964",357,840
Shanghai,"2,706",686,"2,586","2,896",757,934,"3,237","1,881",756,"5,791","3,525","2,282","2,446","3,476",-,"2,197","3,559","1,532","1,728",978
Shenzhen,"3,200",597,"2,906","3,116",809,"1,078","4,610","2,136",854,"2,907","3,767","2,601",743,"4,203","1,757",-,"3,822","1,377",648,256
Singapore,"1,470",493,"2,895","1,637",904,"2,118","4,655",977,945,"2,731","1,501","1,447","1,315","2,406","4,786","4,795",-,"1,245",378,"1,372"
Tanger Med,506,942,"1,650","1,453",206,315,"2,470",310,212,355,"1,017","1,209",464,"2,042","1,643","1,497","1,043",-,209,420
Tianjin,868,177,777,741,138,204,"1,314",549,156,"1,986",918,619,992,"1,124","2,137",634,"1,063",407,-,42
Xiamen,"1,870",238,"1,297","1,288",230,285,"2,129","1,229",253,"1,566","1,575","1,037",427,"1,624","1,135","4,372","1,573",606,42,-
