PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.96
2,6,10,18.97
3,11,15,18.85
4,16,20,19.21
5,21,25,19.03
6,26,30,18.69
7,31,35,19.24
8,36,40,19.05
9,41,45,19.05
10,46,50,18.61
11,51,55,18.77
12,56,60,18.71
13,61,65,19.27
14,66,70,19.75
15,71,75,19.06
16,76,80,19.22
17,81,85,19.52
18,86,90,19.14
19,91,95,19.33
20,96,100,19.55
21,101,105,20.13
22,106,110,20.85
23,111,115,21.01
24,116,120,20.87
25,121,125,20.55
26,126,130,20.85
27,131,135,20.24
28,136,140,21.07
29,141,145,21.55
30,146,150,21.43
31,151,155,20.49
32,156,160,20.62
33,161,165,21.45
34,166,170,22.27
35,171,175,22.43
36,176,180,23.36
37,181,185,22.11
38,186,190,21.19
39,191,195,21.32
40,196,200,21.47
41,201,205,21.44
42,206,210,22.23
43,211,215,20.77
44,216,220,19.51
45,221,225,19.00
46,226,230,19.42
47,231,235,19.64
48,236,240,20.35
49,241,245,21.27
50,246,250,20.17
51,251,255,19.07
52,256,260,19.26
53,261,265,19.38
54,266,270,19.73
55,271,275,20.29
56,276,280,20.67
57,281,285,19.08
58,286,290,19.90
59,291,295,20.45
60,296,300,20.41
61,301,305,20.97
62,306,310,21.46
63,311,315,20.28
64,316,320,20.27
65,321,325,19.45
66,326,330,19.39
67,331,335,19.64
68,336,340,20.13
69,341,345,21.11
70,346,350,19.86
71,351,355,19.14
72,356,360,19.89
,,OverallMean,20.15
,,PeriodStdDev,1.07
