Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,60,158,11,14,132,83,12,490,207,120,9,202,34,41,55,78,5,33
Cartagena,31,-,62,39,14,18,58,19,13,95,34,40,41,54,113,99,57,32,24,25
Colombo,60,53,-,136,14,18,65,41,17,92,100,92,49,197,83,98,30,100,19,43
Hamburg,87,40,169,-,22,29,226,58,23,126,70,28,81,7,251,257,100,23,40,78
Ho Chi Minh City,13,16,28,43,-,8,54,10,2,80,32,28,15,65,40,42,15,29,8,12
Jakarta,17,22,35,51,4,-,69,11,5,101,46,52,16,80,49,55,6,33,12,15
Jebel Ali,65,43,63,127,17,25,-,47,19,165,91,79,49,189,74,85,53,137,18,45
Kaohsiung,16,26,30,86,12,14,52,-,13,266,86,56,17,96,38,17,33,44,9,9
Laem Chabang,13,17,25,41,4,7,57,9,-,94,32,38,13,59,36,41,10,28,10,12
Los Angeles,276,134,105,112,33,41,161,139,33,-,439,98,217,169,426,283,111,70,100,142
New Jersey,94,47,144,68,18,21,109,73,16,455,-,57,92,77,252,234,72,21,37,75
Piraeus,68,47,112,18,17,19,136,44,15,89,69,-,61,37,177,165,70,20,25,54
Qingdao,29,34,38,92,8,12,70,9,9,431,125,85,-,111,8,10,34,59,15,0
Rotterdam,129,58,250,4,33,46,326,93,37,187,102,25,129,-,356,353,138,28,51,109
Shanghai,14,89,61,287,22,25,112,12,24,474,297,184,20,340,-,14,54,140,36,4
Shenzhen,39,75,54,294,19,23,135,9,23,307,297,194,20,388,49,-,38,118,10,7
Singapore,52,58,29,138,4,9,98,37,7,344,105,96,53,198,69,92,-,96,18,45
Tanger Med,66,32,132,14,22,31,165,39,22,76,21,11,60,15,172,165,91,-,28,52
Tianjin,24,27,31,84,6,9,66,16,7,202,94,58,2,124,11,8,33,42,-,0
Xiamen,31,33,42,137,8,10,91,8,10,166,147,91,12,169,35,12,37,60,1,-
