Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,25,24,4,6,44,129,5,106,35,22,34,32,83,33,28,14,14,25
Cartagena,5,-,12,23,2,2,11,3,2,9,62,19,6,32,19,16,10,23,3,4
Colombo,15,9,-,22,12,16,110,11,14,9,22,19,11,31,40,40,62,17,4,11
Hamburg,7,23,21,-,2,3,32,5,2,7,55,17,6,33,25,24,12,28,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,6,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,4,-,12,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,13,8,109,24,11,15,-,10,11,15,22,21,9,36,23,24,51,28,3,9
Kaohsiung,33,3,6,8,2,3,9,-,2,75,9,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,11,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,48,11,13,10,4,6,20,24,4,-,41,9,36,15,78,45,15,6,15,23
New Jersey,9,90,20,54,2,2,24,7,2,29,-,32,9,66,30,26,9,25,3,8
Piraeus,7,12,18,11,2,2,25,5,2,6,17,-,6,27,21,18,9,25,2,5
Qingdao,14,4,12,11,3,3,17,21,2,102,16,11,-,12,32,11,15,8,5,1
Rotterdam,10,35,31,19,3,5,49,8,3,10,84,17,11,-,35,33,16,43,4,9
Shanghai,51,12,29,34,8,10,37,37,8,126,48,26,43,40,-,25,39,18,29,12
Shenzhen,34,11,33,36,9,12,53,28,10,38,50,31,8,49,19,-,47,16,7,3
Singapore,17,9,59,19,8,17,91,12,8,35,20,17,14,29,54,54,-,15,4,15
Tanger Med,6,23,19,17,2,3,27,3,3,4,24,13,5,23,19,17,11,-,2,5
Tianjin,11,3,10,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,4,16,16,3,3,25,15,3,19,19,13,5,20,15,56,19,7,1,-
