Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,420","1,399",227,332,"2,564","6,887",248,"5,569","2,047","1,210","1,879","1,779","4,506","2,400","1,683",746,"1,125","1,326"
Cartagena,196,-,545,"1,038",108,139,535,117,97,431,"2,745",800,256,"1,489",849,715,474,"1,094",135,165
Colombo,"1,325",524,-,"1,809",618,794,"5,523",874,666,654,"1,600","1,559","1,022","2,671","3,586","3,570","2,989","1,501",310,"1,039"
Hamburg,646,917,"1,921",-,193,269,"2,947",447,199,579,"2,477","1,595",582,"2,840","2,279","2,288","1,039","2,532",268,598
Ho Chi Minh City,233,120,736,399,-,671,"1,123",170,539,549,346,312,257,614,"1,230","1,199","1,816",297,122,248
Jakarta,334,171,"1,051",510,443,-,"1,540",216,466,771,504,643,286,835,"1,617","1,589","1,467",375,176,304
Jebel Ali,"1,187",346,"5,230","1,976",533,736,-,816,523,"1,114","1,080","1,655",828,"3,045","2,160","2,241","2,466","2,477",247,868
Kaohsiung,"2,475",154,468,635,174,211,688,-,178,"3,566",705,448,901,713,"1,677",779,587,336,812,398
Laem Chabang,254,129,733,399,226,753,"1,197",175,-,624,362,444,248,571,"1,227","1,238","1,813",291,158,240
Los Angeles,"2,787",565,796,527,240,312,"1,152","1,220",231,-,"2,271",506,"2,152",830,"4,487","2,507",903,353,848,"1,212"
New Jersey,721,"3,548","1,608","2,529",164,189,"1,128",528,140,"2,035",-,"1,496",672,"3,042","2,321","2,033",735,"1,101",246,578
Piraeus,582,775,"1,579","1,005",184,215,"2,285",374,156,452,"1,481",-,508,"2,336","1,903","1,703",880,"2,141",198,483
Qingdao,"1,163",252,"1,000",823,200,304,"1,439","1,054",186,"5,097","1,225",873,-,"1,010","2,657",913,"1,179",574,449,45
Rotterdam,984,"1,414","2,908","1,695",308,441,"4,374",696,336,844,"3,900","1,585",937,-,"3,210","3,203","1,463","3,976",342,841
Shanghai,"2,838",708,"2,533","2,919",737,935,"3,237","1,878",739,"5,865","3,481","2,210","2,530","3,497",-,"2,314","3,599","1,540","1,672",976
Shenzhen,"3,246",626,"2,869","3,137",796,"1,080","4,609","2,133",838,"2,901","3,719","2,518",769,"4,224","1,799",-,"3,859","1,394",648,260
Singapore,"1,476",515,"2,897","1,649",905,"2,123","4,653",990,947,"2,743","1,493","1,392","1,334","2,422","4,916","4,997",-,"1,259",361,"1,388"
Tanger Med,511,958,"1,653","1,472",217,314,"2,473",311,221,356,"1,096","1,211",470,"2,060","1,689","1,570","1,050",-,203,420
Tianjin,907,186,765,740,135,203,"1,315",549,154,"1,988",901,587,990,"1,121","2,133",635,"1,064",403,-,42
Xiamen,"1,896",249,"1,271","1,290",227,286,"2,133","1,224",247,"1,559","1,573",984,445,"1,625","1,151","4,369","1,572",606,42,-
