PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.40
2,6,10,18.63
3,11,15,18.76
4,16,20,18.64
5,21,25,18.51
6,26,30,18.91
7,31,35,19.17
8,36,40,18.81
9,41,45,18.87
10,46,50,19.27
11,51,55,18.19
12,56,60,18.57
13,61,65,19.15
14,66,70,19.38
15,71,75,19.37
16,76,80,19.13
17,81,85,19.13
18,86,90,19.15
19,91,95,19.34
20,96,100,20.43
21,101,105,20.76
22,106,110,20.90
23,111,115,21.11
24,116,120,21.66
25,121,125,20.99
26,126,130,21.16
27,131,135,22.13
28,136,140,22.63
29,141,145,22.81
30,146,150,22.82
31,151,155,21.82
32,156,160,22.51
33,161,165,23.41
34,166,170,24.11
35,171,175,24.84
36,176,180,25.47
37,181,185,22.26
38,186,190,22.55
39,191,195,23.09
40,196,200,23.99
41,201,205,23.45
42,206,210,23.65
43,211,215,22.23
44,216,220,22.11
45,221,225,21.23
46,226,230,21.22
47,231,235,22.38
48,236,240,22.24
49,241,245,23.22
50,246,250,24.20
51,251,255,21.06
52,256,260,19.99
53,261,265,20.93
54,266,270,20.67
55,271,275,21.86
56,276,280,22.34
57,281,285,22.31
58,286,290,21.99
59,291,295,21.77
60,296,300,23.09
61,301,305,23.13
62,306,310,23.66
63,311,315,23.95
64,316,320,20.79
65,321,325,22.15
66,326,330,22.53
67,331,335,21.03
68,336,340,21.70
69,341,345,22.68
70,346,350,23.65
71,351,355,22.21
72,356,360,22.04
,,OverallMean,21.42
,,PeriodStdDev,1.83
