Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,62,155,11,15,133,95,13,521,206,120,9,199,38,44,60,77,5,32
Cartagena,34,-,60,39,14,18,57,21,13,101,33,41,43,54,111,98,56,32,25,26
Colombo,76,54,-,136,14,18,66,53,17,99,99,92,62,196,81,96,30,100,23,41
Hamburg,96,39,169,-,22,29,226,65,22,134,69,29,88,8,249,256,99,24,42,77
Ho Chi Minh City,17,16,29,43,-,8,56,13,2,88,32,27,20,65,44,47,15,29,11,13
Jakarta,22,23,35,52,4,-,69,14,5,112,46,54,20,83,53,58,6,34,15,15
Jebel Ali,81,45,64,127,18,25,-,56,19,175,93,79,59,190,73,84,53,137,20,44
Kaohsiung,16,28,35,90,14,16,58,-,14,275,92,60,17,101,39,17,39,46,9,9
Laem Chabang,17,17,26,41,4,7,58,13,-,104,33,38,18,58,41,45,10,28,13,13
Los Angeles,278,134,105,112,33,41,161,141,33,-,432,96,219,169,430,285,112,69,99,144
New Jersey,101,47,144,69,18,21,109,80,16,479,-,59,99,77,252,234,72,21,40,78
Piraeus,76,50,112,18,17,18,135,49,14,94,76,-,67,37,176,163,69,20,27,53
Qingdao,42,34,39,92,9,13,71,10,9,451,124,86,-,112,8,8,35,60,22,0
Rotterdam,142,57,250,5,33,45,325,103,36,200,101,25,142,-,353,351,138,29,55,108
Shanghai,15,89,61,287,21,26,112,15,23,493,296,184,22,340,-,14,54,140,34,4
Shenzhen,39,77,54,295,19,25,136,9,22,328,296,194,21,389,51,-,38,118,10,7
Singapore,71,59,28,138,4,9,98,49,7,367,105,96,68,197,68,91,-,95,24,44
Tanger Med,73,32,132,14,22,31,164,43,22,80,21,11,66,15,171,164,91,-,30,51
Tianjin,34,27,31,84,6,9,67,22,8,232,93,58,2,124,11,7,35,42,-,0
Xiamen,28,34,43,138,9,11,93,8,10,177,147,92,11,169,35,12,39,60,1,-
