Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,7,37,37,6,9,65,196,7,158,56,33,47,49,121,41,45,19,13,36
Cartagena,5,-,14,26,3,3,13,3,2,10,73,21,7,39,21,18,11,26,3,4
Colombo,18,9,-,24,13,16,110,13,14,10,22,22,13,37,49,47,62,21,4,14
Hamburg,8,27,24,-,3,3,38,6,3,8,64,20,8,38,28,29,13,32,3,8
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,6,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,3,-,12,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,16,8,109,26,11,15,-,11,10,17,22,23,10,42,28,30,51,33,3,11
Kaohsiung,32,3,6,8,2,3,9,-,2,112,10,6,12,9,22,10,8,4,11,5
Laem Chabang,2,2,6,3,2,6,11,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,74,20,20,15,6,8,31,35,7,-,61,14,56,21,122,63,24,10,25,34
New Jersey,10,103,22,62,2,2,28,8,2,32,-,37,9,76,31,27,10,28,3,8
Piraeus,8,13,21,12,2,2,30,5,2,6,20,-,6,31,25,22,11,28,2,7
Qingdao,14,4,12,10,3,3,18,33,2,151,15,11,-,12,31,11,15,8,6,1
Rotterdam,12,38,38,23,4,6,55,9,4,13,97,21,13,-,44,40,20,51,5,11
Shanghai,74,13,34,40,10,12,43,53,9,182,50,30,66,47,-,29,47,20,44,12
Shenzhen,33,11,39,42,10,14,61,27,12,38,52,35,8,56,19,-,52,18,7,3
Singapore,20,9,59,22,8,17,93,14,8,41,21,20,17,32,63,64,-,18,5,17
Tanger Med,7,26,22,20,3,4,32,4,3,5,29,16,6,27,22,20,13,-,2,6
Tianjin,11,3,10,9,2,3,16,6,2,25,11,7,12,13,26,8,13,5,-,0
Xiamen,24,4,15,16,3,3,25,16,3,19,18,13,5,20,15,56,19,7,1,-
