Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,327","1,358",207,293,"2,307","6,893",229,"5,455","1,984","1,190","1,835","1,729","4,515","2,235","1,527",729,"1,128","1,326"
Cartagena,184,-,543,"1,036",108,139,532,117,97,429,"2,709",796,241,"1,480",853,718,469,"1,088",134,164
Colombo,"1,281",524,-,"1,803",618,795,"5,533",877,667,610,"1,630","1,621",992,"2,668","3,505","3,447","3,002","1,498",305,"1,046"
Hamburg,635,908,"1,859",-,189,260,"2,936",447,196,548,"2,290","1,605",565,"2,888","2,239","2,203",972,"2,556",262,602
Ho Chi Minh City,230,120,736,399,-,670,"1,122",172,536,534,354,320,248,612,"1,236","1,166","1,814",297,118,253
Jakarta,318,176,"1,049",502,443,-,"1,540",216,466,740,518,662,275,815,"1,584","1,517","1,459",364,168,304
Jebel Ali,"1,154",347,"5,239","1,970",539,740,-,817,527,"1,070","1,081","1,707",800,"3,038","2,106","2,141","2,478","2,467",241,870
Kaohsiung,"2,478",154,422,620,154,201,625,-,162,"3,506",689,438,893,697,"1,650",785,528,332,812,397
Laem Chabang,250,129,733,398,226,749,"1,196",179,-,599,372,453,246,571,"1,233","1,192","1,804",291,151,242
Los Angeles,"2,702",590,797,516,214,305,987,"1,213",202,-,"2,206",493,"2,098",815,"4,263","2,423",905,343,846,"1,211"
New Jersey,693,"3,507","1,590","2,527",162,186,"1,125",524,138,"1,977",-,"1,481",642,"3,025","2,314","2,024",725,"1,100",245,574
Piraeus,561,756,"1,510","1,000",176,208,"2,284",379,154,426,"1,391",-,500,"2,330","1,863","1,638",839,"2,136",195,486
Qingdao,"1,136",253,"1,004",803,194,305,"1,369","1,056",178,"4,994","1,258",892,-,991,"2,603",920,"1,182",556,445,45
Rotterdam,963,"1,404","2,808","1,689",295,424,"4,372",708,332,811,"3,668","1,595",907,-,"3,132","3,068","1,393","4,010",334,848
Shanghai,"2,747",709,"2,546","2,914",709,945,"3,159","1,886",721,"5,751","3,569","2,279","2,473","3,494",-,"2,215","3,603","1,542","1,674",977
Shenzhen,"3,251",629,"2,878","3,135",777,"1,085","4,515","2,135",806,"2,845","3,810","2,599",757,"4,216","1,763",-,"3,899","1,392",652,259
Singapore,"1,441",518,"2,902","1,642",900,"2,116","4,667",994,944,"2,621","1,511","1,449","1,305","2,415","4,824","4,827",-,"1,257",352,"1,400"
Tanger Med,490,945,"1,595","1,467",209,298,"2,469",311,217,340,"1,016","1,222",455,"2,054","1,658","1,516",998,-,197,424
Tianjin,889,186,769,720,129,204,"1,279",548,149,"1,948",920,608,992,"1,100","2,084",636,"1,066",398,-,42
Xiamen,"1,903",249,"1,273","1,255",224,285,"2,031","1,226",238,"1,530","1,606","1,013",440,"1,585","1,153","4,371","1,571",594,42,-
