Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,981,241,"1,223",0.03
Cartagena,303,0,303,0.02
Colombo,518,19,537,0.01
Hamburg,363,0,363,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,110,0,110,0.05
Jebel Ali,477,0,477,0.00
Kaohsiung,275,125,400,0.16
Laem Chabang,93,0,93,0.02
Los Angeles,646,0,646,0.00
New Jersey,501,164,665,0.01
Piraeus,255,0,255,0.00
Qingdao,359,88,448,0.02
Rotterdam,503,0,503,0.00
Shanghai,816,"1,861","2,677",0.00
Shenzhen,538,159,697,0.00
Singapore,547,561,"1,108",0.01
Tanger Med,265,95,360,0.00
Tianjin,182,0,182,0.01
Xiamen,281,0,281,0.02
TOTAL,"8,105","3,314","11,419",0.41
