PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.71
2,6,10,18.91
3,11,15,18.90
4,16,20,18.70
5,21,25,18.53
6,26,30,18.63
7,31,35,18.73
8,36,40,19.43
9,41,45,19.50
10,46,50,19.05
11,51,55,18.60
12,56,60,18.64
13,61,65,18.57
14,66,70,19.32
15,71,75,19.23
16,76,80,19.38
17,81,85,19.27
18,86,90,18.64
19,91,95,19.06
20,96,100,19.65
21,101,105,20.38
22,106,110,21.19
23,111,115,20.86
24,116,120,20.80
25,121,125,20.90
26,126,130,21.42
27,131,135,20.99
28,136,140,22.18
29,141,145,22.37
30,146,150,22.68
31,151,155,21.88
32,156,160,21.97
33,161,165,22.83
34,166,170,23.38
35,171,175,24.04
36,176,180,25.32
37,181,185,23.85
38,186,190,22.46
39,191,195,22.70
40,196,200,22.87
41,201,205,22.56
42,206,210,20.37
43,211,215,21.58
44,216,220,20.92
45,221,225,20.37
46,226,230,19.98
47,231,235,20.36
48,236,240,21.07
49,241,245,21.82
50,246,250,20.63
51,251,255,21.17
52,256,260,19.95
53,261,265,19.72
54,266,270,20.86
55,271,275,20.95
56,276,280,21.69
57,281,285,20.35
58,286,290,20.83
59,291,295,20.83
60,296,300,20.65
61,301,305,21.38
62,306,310,22.54
63,311,315,20.54
64,316,320,20.46
65,321,325,21.31
66,326,330,19.89
67,331,335,20.09
68,336,340,20.83
69,341,345,21.34
70,346,350,20.87
71,351,355,20.82
72,356,360,21.48
,,OverallMean,20.73
,,PeriodStdDev,1.49
