Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,39,62,158,11,16,136,86,13,522,218,121,8,202,34,44,59,79,5,30
Cartagena,34,-,65,39,14,19,56,21,14,98,33,38,43,54,118,104,61,32,25,27
Colombo,61,56,-,136,14,17,66,43,17,91,100,93,51,196,82,97,30,101,19,41
Hamburg,88,39,169,-,22,29,226,59,23,128,70,28,82,8,250,257,100,23,40,76
Ho Chi Minh City,14,17,28,43,-,8,54,10,2,76,34,27,16,64,41,43,15,28,9,12
Jakarta,17,24,35,52,4,-,68,12,5,104,48,53,16,82,48,53,6,34,12,14
Jebel Ali,67,48,63,128,18,24,-,48,19,162,96,80,50,191,73,85,54,138,18,43
Kaohsiung,16,29,31,87,13,14,52,-,13,280,90,55,17,96,37,20,33,44,9,11
Laem Chabang,14,19,25,41,4,7,56,9,-,89,34,38,14,58,37,42,10,28,11,11
Los Angeles,277,145,104,111,33,41,160,141,33,-,452,96,218,167,428,285,111,69,99,143
New Jersey,96,48,144,68,17,21,106,73,16,466,-,56,93,77,253,234,72,21,37,77
Piraeus,70,51,112,18,17,19,136,45,15,89,78,-,62,37,176,164,69,19,26,52
Qingdao,31,39,38,92,9,12,69,9,9,456,132,85,-,112,8,11,35,59,18,0
Rotterdam,132,58,250,4,33,46,326,94,37,192,102,25,131,-,355,352,138,29,52,107
Shanghai,14,94,62,288,21,25,112,13,23,500,295,184,20,340,-,14,55,140,32,4
Shenzhen,39,79,55,295,19,24,136,7,23,306,295,196,19,389,50,-,39,118,10,9
Singapore,55,62,28,139,4,9,98,38,7,343,105,96,55,198,68,92,-,96,20,42
Tanger Med,67,32,132,13,22,31,165,39,22,76,22,11,60,15,171,165,91,-,28,51
Tianjin,26,30,31,85,6,9,66,17,7,220,98,58,2,125,10,9,33,42,-,0
Xiamen,27,37,41,137,9,11,91,7,10,167,156,92,12,170,35,12,37,60,1,-
