Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,26,25,5,6,46,138,5,112,38,24,35,35,88,33,31,14,12,27
Cartagena,5,-,14,27,3,4,13,3,2,11,75,23,7,42,22,19,12,27,3,4
Colombo,16,11,-,22,13,16,110,11,14,9,31,20,12,33,43,42,61,19,4,12
Hamburg,8,28,21,-,3,3,33,5,2,8,66,18,6,33,25,25,12,30,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,5,2,7,13,12,12,3,1,3
Jebel Ali,14,8,109,25,11,15,-,10,10,15,22,21,10,37,25,25,52,29,3,10
Kaohsiung,30,3,6,8,2,3,8,-,2,81,9,5,11,9,21,10,8,4,10,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,54,15,15,11,5,7,22,26,5,-,46,10,42,16,90,48,18,7,18,25
New Jersey,12,109,28,64,3,3,29,10,3,41,-,40,12,81,41,37,13,29,5,11
Piraeus,7,12,19,11,2,2,26,5,2,6,18,-,6,27,22,19,10,27,2,6
Qingdao,13,4,11,9,2,3,16,22,2,108,14,10,-,11,30,10,13,7,5,0
Rotterdam,11,41,32,19,3,5,50,9,4,12,102,18,12,-,39,35,17,46,4,10
Shanghai,54,16,30,34,9,11,38,40,9,131,66,26,46,41,-,26,41,19,33,11
Shenzhen,34,14,34,38,10,12,54,27,11,38,69,30,8,52,19,-,49,17,7,3
Singapore,17,11,59,20,8,17,93,12,8,39,28,17,15,28,59,58,-,16,4,16
Tanger Med,6,27,19,18,3,3,28,4,2,4,29,14,6,24,19,18,11,-,2,5
Tianjin,10,3,9,8,2,2,15,6,2,24,10,7,11,12,23,7,11,5,-,0
Xiamen,21,3,14,14,3,3,22,15,3,19,17,11,5,18,13,49,17,7,1,-
