Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,263,"1,394","1,334",220,302,"2,375","6,899",239,"5,558","2,043","1,167","1,834","1,703","4,515","2,402","1,722",720,"1,130","1,332"
Cartagena,182,-,536,"1,030",103,139,527,117,92,428,"2,678",792,241,"1,472",790,658,474,"1,082",131,160
Colombo,"1,345",522,-,"1,804",618,795,"5,552",855,667,661,"1,609","1,551",991,"2,662","3,559","3,496","3,004","1,489",310,"1,017"
Hamburg,660,898,"1,921",-,192,264,"2,967",438,198,580,"2,484","1,596",565,"2,833","2,271","2,232","1,009","2,544",269,579
Ho Chi Minh City,237,116,736,399,-,671,"1,123",167,539,559,346,312,245,612,"1,208","1,141","1,815",297,119,240
Jakarta,344,171,"1,051",510,443,-,"1,540",207,466,769,504,643,277,836,"1,616","1,552","1,467",377,180,298
Jebel Ali,"1,213",347,"5,246","1,962",539,741,-,781,528,"1,114","1,083","1,656",801,"3,039","2,150","2,189","2,488","2,463",246,844
Kaohsiung,"2,430",149,448,621,162,207,642,-,168,"3,572",705,438,872,697,"1,650",785,596,332,813,395
Laem Chabang,252,127,733,400,226,751,"1,197",169,-,631,363,443,241,571,"1,209","1,168","1,815",291,151,229
Los Angeles,"2,787",573,747,527,219,275,"1,009","1,225",207,-,"2,260",506,"2,108",827,"4,384","2,437",901,352,855,"1,223"
New Jersey,682,"3,481","1,616","2,511",151,193,"1,113",514,135,"2,051",-,"1,470",642,"3,016","2,210","1,910",756,"1,095",244,567
Piraeus,600,761,"1,581","1,000",179,214,"2,289",367,155,453,"1,479",-,502,"2,324","1,889","1,666",862,"2,127",199,470
Qingdao,"1,165",246,991,824,201,300,"1,403","1,056",190,"5,089","1,230",877,-,"1,017","2,607",921,"1,183",574,446,45
Rotterdam,"1,012","1,385","2,927","1,679",305,438,"4,380",670,333,846,"3,921","1,590",907,-,"3,181","3,099","1,437","3,992",349,810
Shanghai,"2,845",695,"2,513","2,893",732,919,"3,170","1,880",737,"5,877","3,500","2,208","2,475","3,477",-,"2,256","3,627","1,533","1,684",978
Shenzhen,"3,206",620,"2,835","3,130",798,"1,066","4,533","2,135",828,"2,914","3,762","2,514",747,"4,203","1,760",-,"3,922","1,384",652,256
Singapore,"1,499",509,"2,916","1,639",904,"2,119","4,671",962,947,"2,759","1,498","1,393","1,304","2,417","4,894","4,903",-,"1,254",359,"1,350"
Tanger Med,528,941,"1,653","1,466",213,308,"2,471",304,221,357,"1,099","1,216",456,"2,054","1,683","1,534","1,030",-,203,415
Tianjin,909,182,753,742,136,202,"1,302",549,153,"1,987",901,589,992,"1,124","2,090",636,"1,066",407,-,42
Xiamen,"1,872",243,"1,275","1,289",229,278,"2,083","1,230",249,"1,567","1,580",988,432,"1,625","1,148","4,386","1,612",607,42,-
