Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,706,196,903,0.02
Cartagena,316,0,316,0.02
Colombo,498,23,521,0.01
Hamburg,337,0,337,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,110,0,110,0.05
Jebel Ali,451,0,451,0.00
Kaohsiung,235,90,325,0.11
Laem Chabang,94,0,94,0.02
Los Angeles,478,0,478,0.00
New Jersey,572,226,798,0.01
Piraeus,228,0,228,0.00
Qingdao,290,69,359,0.01
Rotterdam,469,0,469,0.00
Shanghai,679,"1,477","2,155",0.00
Shenzhen,526,152,678,0.00
Singapore,526,522,"1,048",0.01
Tanger Med,242,92,334,0.01
Tianjin,166,0,166,0.01
Xiamen,255,0,255,0.02
TOTAL,"7,271","2,847","10,118",0.35
