PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.84
2,6,10,18.85
3,11,15,18.97
4,16,20,19.19
5,21,25,18.51
6,26,30,18.34
7,31,35,19.11
8,36,40,19.13
9,41,45,19.34
10,46,50,18.73
11,51,55,18.38
12,56,60,18.89
13,61,65,19.26
14,66,70,19.97
15,71,75,19.01
16,76,80,19.71
17,81,85,19.45
18,86,90,19.19
19,91,95,19.06
20,96,100,19.63
21,101,105,20.34
22,106,110,21.07
23,111,115,20.99
24,116,120,20.77
25,121,125,21.03
26,126,130,20.24
27,131,135,20.83
28,136,140,21.63
29,141,145,21.37
30,146,150,21.70
31,151,155,20.79
32,156,160,20.89
33,161,165,21.67
34,166,170,22.16
35,171,175,22.50
36,176,180,23.32
37,181,185,22.02
38,186,190,20.91
39,191,195,21.36
40,196,200,22.05
41,201,205,21.47
42,206,210,22.09
43,211,215,22.61
44,216,220,20.37
45,221,225,19.61
46,226,230,20.19
47,231,235,20.49
48,236,240,21.51
49,241,245,19.77
50,246,250,19.74
51,251,255,20.19
52,256,260,20.10
53,261,265,20.02
54,266,270,20.39
55,271,275,19.87
56,276,280,20.38
57,281,285,19.59
58,286,290,19.53
59,291,295,19.81
60,296,300,20.74
61,301,305,21.34
62,306,310,20.31
63,311,315,20.34
64,316,320,19.95
65,321,325,19.27
66,326,330,20.13
67,331,335,20.31
68,336,340,20.62
69,341,345,20.92
70,346,350,19.56
71,351,355,19.73
72,356,360,20.10
,,OverallMean,20.28
,,PeriodStdDev,1.10
