Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,63,161,11,16,137,82,13,487,211,123,8,205,33,41,58,80,5,29
Cartagena,30,-,61,39,14,18,58,20,14,97,33,41,40,54,112,99,57,32,23,26
Colombo,60,53,-,138,14,17,65,44,17,93,100,93,49,199,83,98,30,101,19,43
Hamburg,87,39,168,-,22,29,225,59,23,129,69,28,81,8,249,257,99,24,40,78
Ho Chi Minh City,14,16,28,44,-,8,54,11,2,78,32,28,17,66,44,46,15,29,9,13
Jakarta,18,22,36,52,4,-,70,13,5,107,45,54,17,83,51,57,6,34,13,15
Jebel Ali,65,44,64,128,17,24,-,50,19,167,91,79,49,192,73,85,53,138,18,44
Kaohsiung,16,26,29,85,12,14,50,-,12,265,85,55,13,94,29,17,31,43,9,8
Laem Chabang,14,17,25,42,4,7,56,11,-,90,33,39,14,59,40,45,10,28,11,12
Los Angeles,276,135,104,113,32,40,160,140,32,-,442,97,217,168,427,281,111,70,102,141
New Jersey,94,47,144,69,18,21,110,75,16,461,-,59,92,77,252,234,72,21,37,80
Piraeus,68,51,111,18,17,18,135,45,15,89,77,-,61,38,176,164,69,20,26,53
Qingdao,30,33,40,93,9,13,73,8,8,429,121,87,-,113,8,8,36,60,10,0
Rotterdam,129,57,249,5,33,45,324,95,37,191,102,25,128,-,353,351,138,28,51,108
Shanghai,13,90,61,289,20,26,113,12,22,470,296,184,20,342,-,14,54,141,35,4
Shenzhen,39,75,54,296,17,24,136,9,20,310,297,194,16,390,42,-,38,119,10,6
Singapore,54,58,29,140,4,9,98,41,7,346,105,97,52,199,70,93,-,96,19,45
Tanger Med,65,32,131,14,22,30,164,39,22,77,21,11,60,15,171,164,91,-,28,52
Tianjin,25,26,33,86,6,9,68,16,7,199,90,59,2,126,11,7,34,44,-,0
Xiamen,32,33,43,140,9,11,94,8,10,168,143,92,10,173,31,12,39,61,1,-
