Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,25,25,4,6,44,130,5,106,36,22,33,32,82,34,29,13,14,25
Cartagena,4,-,12,22,2,3,12,3,2,9,63,19,6,32,19,16,10,23,3,4
Colombo,17,9,-,24,12,16,109,12,14,10,22,21,14,35,45,46,61,20,4,14
Hamburg,8,23,25,-,2,4,38,6,3,8,56,20,8,37,29,28,14,34,3,8
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,6,3,3,2,6,11,9,16,3,1,2
Jakarta,3,2,9,4,3,-,13,2,3,7,4,6,2,7,14,12,12,3,1,3
Jebel Ali,16,8,111,28,11,15,-,11,11,17,22,23,11,41,28,29,52,34,3,11
Kaohsiung,33,3,6,8,2,3,9,-,2,76,10,6,12,9,22,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,2,1,2
Los Angeles,49,11,14,10,5,6,19,24,4,-,42,9,37,16,80,46,16,7,15,23
New Jersey,9,91,21,54,2,2,24,7,2,30,-,33,9,66,31,28,10,25,3,8
Piraeus,8,14,21,13,2,3,30,5,2,6,19,-,7,32,25,22,12,28,3,6
Qingdao,14,4,12,11,3,3,18,21,2,102,15,11,-,12,32,11,15,8,5,1
Rotterdam,13,35,39,22,4,5,59,9,4,14,86,20,13,-,44,40,19,53,5,12
Shanghai,51,12,33,39,10,13,44,37,10,122,47,31,43,47,-,31,48,21,24,13
Shenzhen,33,11,38,43,11,14,61,27,12,38,51,34,8,57,19,-,53,19,7,3
Singapore,19,9,59,22,8,17,92,13,8,39,21,19,17,32,66,64,-,18,5,18
Tanger Med,8,23,22,19,3,4,33,4,3,5,24,16,6,27,23,19,13,-,3,6
Tianjin,11,3,10,9,2,3,16,6,2,25,11,8,12,14,26,8,13,5,-,0
Xiamen,23,4,16,16,3,3,25,15,3,19,19,13,5,20,15,55,20,7,1,-
