Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,259,"1,428","1,405",228,333,"2,573","6,982",250,"5,583","2,044","1,221","1,853","1,792","4,570","2,402","1,692",751,"1,131","1,330"
Cartagena,184,-,544,"1,036",108,143,523,123,97,430,"2,714",807,248,"1,485",849,715,483,"1,087",135,165
Colombo,"1,329",523,-,"1,841",620,796,"5,539",876,668,647,"1,573","1,624","1,024","2,720","3,597","3,435","3,010","1,523",317,"1,042"
Hamburg,652,908,"1,886",-,196,268,"2,871",446,199,567,"2,470","1,597",584,"2,886","2,282","2,192","1,021","2,486",276,601
Ho Chi Minh City,233,116,736,411,-,671,"1,124",171,540,552,342,322,258,629,"1,263","1,155","1,817",305,127,249
Jakarta,334,172,"1,052",510,445,-,"1,543",216,466,753,497,664,288,836,"1,619","1,520","1,465",378,184,307
Jebel Ali,"1,188",348,"5,260","1,998",534,738,-,816,524,"1,109","1,048","1,710",829,"3,100","2,167","2,139","2,480","2,512",254,867
Kaohsiung,"2,428",147,468,640,174,211,689,-,178,"3,585",706,451,902,716,"1,687",786,589,336,814,398
Laem Chabang,255,127,734,410,226,751,"1,200",175,-,623,359,457,249,588,"1,254","1,178","1,810",294,162,241
Los Angeles,"2,745",570,780,529,233,311,"1,142","1,246",226,-,"2,279",508,"2,124",832,"4,395","2,419",888,353,860,"1,235"
New Jersey,688,"3,517","1,578","2,526",162,192,"1,109",543,138,"2,074",-,"1,492",643,"3,020","2,307","2,005",746,"1,100",248,573
Piraeus,581,741,"1,548","1,015",187,209,"2,218",378,154,449,"1,453",-,508,"2,362","1,906","1,626",866,"2,186",206,486
Qingdao,"1,134",254,"1,005",850,200,305,"1,446","1,069",187,"5,115","1,197",911,-,"1,041","2,607",922,"1,183",589,456,45
Rotterdam,996,"1,410","2,852","1,721",308,431,"4,247",701,340,835,"3,889","1,590",940,-,"3,229","3,062","1,445","3,871",362,846
Shanghai,"2,787",698,"2,542","2,949",739,938,"3,250","1,903",743,"5,898","3,416","2,280","2,503","3,566",-,"2,209","3,605","1,570","1,737",978
Shenzhen,"3,206",624,"2,870","3,174",803,"1,083","4,642","2,139",841,"2,914","3,664","2,602",766,"4,290","1,805",-,"3,876","1,408",651,260
Singapore,"1,478",512,"2,918","1,674",903,"2,124","4,660",994,947,"2,714","1,465","1,451","1,337","2,454","4,937","4,810",-,"1,278",372,"1,398"
Tanger Med,513,951,"1,631","1,497",216,308,"2,367",310,221,350,"1,093","1,224",470,"2,087","1,695","1,512","1,035",-,209,424
Tianjin,889,186,769,754,135,204,"1,322",562,156,"1,988",884,622,992,"1,139","2,089",636,"1,068",414,-,42
Xiamen,"1,872",249,"1,274","1,317",227,287,"2,135","1,232",248,"1,567","1,544","1,039",440,"1,659","1,170","4,380","1,575",618,42,-
