Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,668,142,810,0.02
Cartagena,264,0,264,0.01
Colombo,506,17,523,0.01
Hamburg,354,0,354,0.00
Ho Chi Minh City,94,0,94,0.05
Jakarta,111,0,111,0.05
Jebel Ali,483,0,483,0.00
Kaohsiung,241,90,331,0.10
Laem Chabang,94,0,94,0.02
Los Angeles,433,0,433,0.00
New Jersey,455,163,618,0.01
Piraeus,256,0,256,0.00
Qingdao,301,61,362,0.01
Rotterdam,497,0,497,0.00
Shanghai,674,"1,426","2,100",0.00
Shenzhen,539,152,691,0.00
Singapore,546,536,"1,082",0.01
Tanger Med,261,97,358,0.00
Tianjin,184,0,184,0.01
Xiamen,281,0,281,0.02
TOTAL,"7,242","2,685","9,927",0.33
