PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,19.08
2,6,10,18.65
3,11,15,18.68
4,16,20,18.72
5,21,25,18.47
6,26,30,18.85
7,31,35,19.05
8,36,40,19.21
9,41,45,19.12
10,46,50,18.70
11,51,55,18.41
12,56,60,19.25
13,61,65,19.60
14,66,70,19.67
15,71,75,19.71
16,76,80,19.08
17,81,85,19.14
18,86,90,19.51
19,91,95,20.06
20,96,100,20.94
21,101,105,21.32
22,106,110,21.85
23,111,115,22.24
24,116,120,21.92
25,121,125,22.59
26,126,130,23.15
27,131,135,22.42
28,136,140,23.31
29,141,145,23.28
30,146,150,24.19
31,151,155,23.23
32,156,160,23.72
33,161,165,24.74
34,166,170,25.69
35,171,175,26.17
36,176,180,27.25
37,181,185,24.34
38,186,190,24.68
39,191,195,24.90
40,196,200,24.68
41,201,205,25.33
42,206,210,21.85
43,211,215,22.93
44,216,220,22.30
45,221,225,21.11
46,226,230,21.19
47,231,235,22.05
48,236,240,22.58
49,241,245,23.70
50,246,250,23.55
51,251,255,19.70
52,256,260,20.66
53,261,265,20.40
54,266,270,19.84
55,271,275,20.89
56,276,280,21.35
57,281,285,21.89
58,286,290,21.28
59,291,295,20.85
60,296,300,21.81
61,301,305,21.67
62,306,310,22.45
63,311,315,23.47
64,316,320,22.30
65,321,325,21.55
66,326,330,21.30
67,331,335,20.57
68,336,340,20.48
69,341,345,21.46
70,346,350,22.48
71,351,355,21.74
72,356,360,22.03
,,OverallMean,21.62
,,PeriodStdDev,2.08
