Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,37,57,153,10,14,126,95,12,537,208,116,9,194,38,46,54,75,5,34
Cartagena,34,-,64,39,15,18,57,22,14,101,33,40,43,54,117,103,59,32,25,26
Colombo,75,53,-,137,14,18,65,52,17,104,98,93,60,198,83,97,30,101,23,42
Hamburg,94,40,169,-,22,29,227,63,23,137,70,29,85,8,250,257,99,23,43,77
Ho Chi Minh City,15,16,28,42,-,8,54,12,2,85,33,27,18,63,43,46,15,28,10,13
Jakarta,21,23,35,52,4,-,69,14,5,118,47,54,19,83,47,53,6,33,14,14
Jebel Ali,78,43,64,129,18,25,-,54,19,182,95,80,57,192,73,84,53,138,20,44
Kaohsiung,16,28,34,88,13,16,55,-,13,284,91,56,30,98,64,19,35,46,9,10
Laem Chabang,16,17,26,41,4,7,57,11,-,99,34,37,16,57,40,45,10,27,12,13
Los Angeles,280,134,104,110,32,40,158,142,32,-,438,96,220,166,432,286,111,68,103,148
New Jersey,102,47,145,69,18,21,108,79,16,483,-,58,99,77,253,235,73,21,41,75
Piraeus,74,50,112,18,17,19,136,49,15,98,77,-,67,37,177,164,69,20,27,53
Qingdao,39,36,37,92,8,12,69,10,9,469,129,86,-,111,8,10,34,59,21,0
Rotterdam,139,58,250,4,33,46,327,101,37,205,103,25,140,-,355,353,139,28,55,109
Shanghai,15,88,59,287,20,25,109,15,22,515,291,183,22,339,-,13,52,139,38,4
Shenzhen,39,74,53,294,17,24,133,9,21,356,290,193,27,388,65,-,36,118,11,8
Singapore,68,58,28,139,4,9,98,49,7,389,104,97,66,198,69,92,-,96,24,44
Tanger Med,72,32,132,14,22,31,165,42,22,85,22,11,65,15,172,165,91,-,30,51
Tianjin,32,28,30,84,6,9,65,23,7,253,97,58,2,124,11,9,32,42,-,0
Xiamen,28,35,41,136,8,10,89,8,9,194,156,91,16,169,46,12,37,60,1,-
