Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,8,36,36,6,9,63,194,7,158,55,33,47,49,122,45,44,19,13,37
Cartagena,5,-,13,24,2,3,12,3,2,10,69,20,6,36,20,18,11,25,3,4
Colombo,16,11,-,21,13,16,110,11,14,9,29,19,12,31,41,41,62,17,4,12
Hamburg,8,25,21,-,2,3,33,5,2,7,61,18,7,34,26,25,12,29,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,6,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,14,8,108,23,11,15,-,10,11,15,22,20,10,35,25,25,51,28,3,10
Kaohsiung,33,3,7,8,2,3,9,-,2,113,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,14,3,1,2
Los Angeles,71,20,19,15,5,8,30,34,7,-,61,14,54,21,117,62,25,9,24,34
New Jersey,11,98,25,59,3,3,26,9,2,36,-,35,10,72,37,33,12,26,4,10
Piraeus,7,12,19,11,2,2,26,5,2,6,18,-,6,28,21,20,10,26,2,5
Qingdao,14,4,12,11,3,3,17,33,2,154,16,11,-,12,32,11,15,8,6,1
Rotterdam,11,36,34,19,4,5,52,9,4,11,92,17,11,-,39,34,16,45,4,10
Shanghai,74,16,31,36,9,10,38,54,9,188,61,28,65,41,-,28,42,18,43,13
Shenzhen,33,15,35,38,9,13,56,28,10,39,68,32,8,52,19,-,47,17,6,3
Singapore,17,10,58,19,8,17,92,12,8,37,26,16,15,28,56,57,-,15,5,17
Tanger Med,7,24,20,17,3,4,27,3,3,4,26,15,5,24,20,18,12,-,2,5
Tianjin,11,3,10,9,2,3,16,7,2,25,11,7,12,14,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,25,16,3,19,19,13,5,21,15,56,19,7,1,-
