Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,258,"1,368","1,385",216,296,"2,312","6,937",233,"5,459","2,049","1,183","1,824","1,759","4,499","2,239","1,536",737,"1,130","1,331"
Cartagena,184,-,542,"1,035",103,140,531,117,93,429,"2,697",796,242,"1,479",861,663,480,"1,088",134,164
Colombo,"1,293",512,-,"1,816",618,795,"5,543",861,667,634,"1,653","1,627","1,000","2,695","3,463","3,354","2,995","1,510",321,"1,024"
Hamburg,640,904,"1,909",-,186,273,"2,967",442,192,566,"2,482","1,611",572,"2,847","2,171","2,162","1,027","2,562",279,588
Ho Chi Minh City,229,120,736,399,-,671,"1,124",167,539,544,367,321,245,615,"1,164","1,101","1,816",297,128,239
Jakarta,319,170,"1,051",510,443,-,"1,540",207,466,753,510,664,277,835,"1,550","1,495","1,464",377,183,298
Jebel Ali,"1,163",337,"5,236","1,985",539,740,-,792,527,"1,098","1,080","1,717",812,"3,074","2,057","2,098","2,478","2,488",256,855
Kaohsiung,"2,483",151,422,621,154,193,609,-,162,"3,495",703,438,874,697,"1,656",784,530,332,813,398
Laem Chabang,244,129,733,400,226,751,"1,197",167,-,611,380,455,241,571,"1,175","1,126","1,810",291,157,228
Los Angeles,"2,703",571,735,536,218,272,999,"1,230",203,-,"2,307",497,"2,098",843,"4,327","2,163",796,352,862,"1,235"
New Jersey,676,"3,500","1,562","2,524",150,191,"1,119",507,135,"2,043",-,"1,479",637,"3,023","2,333","1,892",741,"1,099",247,558
Piraeus,573,746,"1,567","1,008",171,215,"2,290",370,146,446,"1,494",-,505,"2,340","1,826","1,601",874,"2,152",203,477
Qingdao,"1,116",245,992,825,201,300,"1,405","1,058",189,"5,000","1,256",909,-,"1,019","2,609",906,"1,158",574,458,45
Rotterdam,975,"1,398","2,878","1,702",286,445,"4,380",678,324,832,"3,904","1,596",913,-,"3,043","3,024","1,459","4,019",357,825
Shanghai,"2,730",701,"2,548","2,941",745,927,"3,192","1,897",742,"5,763","3,620","2,280","2,463","3,533",-,"2,175","3,515","1,553","1,738",977
Shenzhen,"3,258",608,"2,867","3,156",803,"1,072","4,557","2,136",840,"2,849","3,882","2,602",745,"4,254","1,763",-,"3,759","1,401",655,257
Singapore,"1,462",502,"2,902","1,655",905,"2,122","4,665",969,945,"2,685","1,538","1,451","1,316","2,436","4,733","4,752",-,"1,266",374,"1,358"
Tanger Med,497,943,"1,645","1,478",203,313,"2,477",307,210,346,"1,099","1,224",462,"2,069","1,620","1,483","1,040",-,208,417
Tianjin,868,182,752,742,136,202,"1,303",551,153,"1,949",918,620,993,"1,124","2,090",632,"1,041",407,-,42
Xiamen,"1,907",244,"1,276","1,289",228,278,"2,085","1,230",249,"1,531","1,619","1,038",430,"1,625","1,140","4,391","1,550",608,42,-
