Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,981,326,"1,307",0.03
Cartagena,286,0,286,0.01
Colombo,488,23,512,0.01
Hamburg,329,0,329,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,110,0,110,0.05
Jebel Ali,444,0,444,0.00
Kaohsiung,278,137,415,0.12
Laem Chabang,93,0,93,0.02
Los Angeles,631,0,631,0.00
New Jersey,510,184,694,0.01
Piraeus,229,0,229,0.00
Qingdao,365,97,462,0.01
Rotterdam,453,0,453,0.00
Shanghai,803,"1,737","2,540",0.00
Shenzhen,527,154,681,0.00
Singapore,513,526,"1,039",0.01
Tanger Med,239,96,334,0.01
Tianjin,184,0,184,0.01
Xiamen,284,0,284,0.02
TOTAL,"7,840","3,280","11,120",0.36
